gene,generated_moran_i,target_moran_i
1700057H15Rik,0.036874899888287474,0.003070777416352809
2610028E06Rik,0.05093369339771644,-0.0007702822381599975
2900052N01Rik,0.40896968521582516,0.05075533998861878
4921534H16Rik,0.0847715244419034,0.002015653126586751
4921539H07Rik,0.6600386948467855,0.17019117996544797
4930426D05Rik,0.2062690173038303,0.012469602207232935
4930438E09Rik,0.05421677071642673,0.007878019892161506
4930452B06Rik,0.20290339125491355,0.04979278458782959
4930467D21Rik,0.1769494161631846,0.012443560539362826
4930509J09Rik,0.1273727565742961,0.003971522961142229
5830418P13Rik,0.18670587129526678,0.01472751275745079
6430628N08Rik,0.33250437490932105,0.09651148598415578
6530403H02Rik,0.1220815591388744,0.010817905193325502
9330158H04Rik,0.17050958367188573,0.005472088008752616
9630002D21Rik,0.14257502594210833,0.004513378352737624
A2m,0.7257463194742926,0.4338716028975329
A330076C08Rik,0.14481025218940036,0.03316769609082491
A630012P03Rik,0.09299433234410105,-0.0007191685250758576
A730046J19Rik,0.07597435809292359,0.05550058708850222
A830009L08Rik,0.41328537078987476,0.03377718875627211
A830019P07Rik,0.18903548963090144,0.0051395860775572694
A830036E02Rik,0.5206645051783214,0.2311032005581072
AW551984,0.41178824389698565,0.18236189378293216
Abca8a,0.2749457154644587,0.0502312113806737
Abcc9,0.0649574600406127,0.002326368066060318
Abhd12b,0.20152448800661488,0.09910396283193909
Abi3bp,0.37400942116712405,0.04458863137331085
Acsbg1,0.18379386559757735,0.06313215083022697
Acta2,0.5871004100579249,0.2666258656144875
Actn2,0.4874298890129987,0.27737370886545715
Acvr1c,0.5213868110480954,0.1588409009654995
Adad1,0.05880869867097624,0.004196564069569353
Adam12,0.3178778044328712,0.05065279350228534
Adam18,0.06258640338892504,0.015908222703112894
Adam33,0.5956164066332721,0.15180104505825456
Adamts12,0.1806576453881668,0.00596909759418789
Adamts16,0.27653526769380044,0.0461068864877767
Adamts18,0.25608276535728725,0.09353941956265675
Adamts19,0.3360468789693807,0.16343861564188072
Adamts2,0.32909810200085104,0.026518207538416303
Adamts9,0.31523870008181426,0.06801650116158355
Adamtsl1,0.5513060316483712,0.07819968061689049
Adamtsl3,0.44422306054063265,0.06280122571234682
Adcy2,0.3963750426137724,0.19558326602777834
Adcy7,0.12261432476800486,0.0265539402101423
Adcy8,0.3183670823229183,0.13871937704571155
Adcyap1,0.5924341034229889,0.18733761252256895
Adgrd1,0.15428007208443037,0.01753025029007481
Adgrf5,0.02329689813763659,0.04074980677683178
Adgrg2,0.1802715808394073,0.006784771360486196
Adgrg6,0.34792859589872155,0.07168604069564437
Adgrl2,0.46104228753248305,0.2144442759609434
Adgrv1,0.599239729361346,0.3541356988692432
Adh5,0.32282734851336853,0.024820792739109157
Adora1,0.5592760136972008,0.18839463482442104
Adora2a,0.6629098999401974,0.2760744997385814
Adra1a,0.16148870142235475,0.03994053534853635
Adra1b,0.34317530600518026,0.03124158711100158
Adra2a,0.2833864427403194,0.06801496172565327
Aff2,0.30472641439332726,0.08856332459057145
Agt,0.2993802947503353,0.1958139477593813
Agtr1a,0.20358221830953127,0.008858039935033786
Agtr2,0.1692768947613919,0.02085217272003396
Akain1,0.2139948871823341,0.032709287885191965
Akr7a5,0.2869301363748831,0.010186382629757648
Aldh1a3,0.18219306894283008,0.021547042075058864
Aldh1l1,0.1510482008934555,0.04495461106629292
Aldh3b2,0.14925784065126932,0.0358461123129287
Alk,0.10169084500121993,0.03486730714363653
Alox8,0.27375087459726327,0.015101809457234976
Alpk2,0.21594517015883197,0.011099830854528328
Amigo2,0.6298380708650885,0.37199712367341986
Angpt1,0.32300747696560406,0.029956810193787778
Ankfn1,0.5012842177140179,0.18819363447213533
Ankrd63,0.4786176593506186,0.2126748200221171
Ano1,0.4478889720950628,0.16913631405601112
Ano2,0.3827569865494652,0.145578391798691
Antxr2,0.3584632114839348,0.031846077010651744
Anxa2,0.6069999915495589,0.157391966617899
Apela,0.13210964556721694,0.002302952786065309
Apex1,0.3050614759976096,0.09400229866364812
Apold1,0.13759103415747867,0.012242244585294895
Aqp1,0.8202662996699742,0.5445306199217265
Aqp4,0.32529290057624105,0.06303459426801689
Aqp6,0.13306306794418749,0.008144513621443968
Ar,0.44178928202949846,0.07699221548342117
Arhgap15,0.10269786244213702,0.011565506519120613
Arhgap22,0.08983447932155245,0.0016508335503950435
Arhgap25,0.16531476276433252,0.074237041517767
Arhgap28,0.5681188286092091,0.05849691896142242
Arhgap36,0.39573203481457314,0.12632220489360863
Arhgef26,0.3025444955219773,0.11949168499363678
Arhgef38,0.05917777759702839,-0.0020165951014723092
Arntl,0.26289483653159856,0.09204363687408125
Arsj,0.258352765892285,0.06690099643848903
Arx,0.12373115399244417,0.036963017417140316
Asb2,0.38252646717848376,0.12559717727965475
Asb4,0.5971418595152979,0.09112368798382725
Ascl1,0.1436427998039243,0.018668362001914855
Asic4,0.3010914400437881,0.10068487983574957
Atp10a,0.08264890973782725,0.057741380508841963
Atp6ap1l,0.3351259262586726,0.07819754503347826
Atp6v1c2,0.4762879888474986,0.11930908422716588
Avpr1a,0.13353186164184544,0.03438183672808981
B020031H02Rik,0.2746838190081531,0.10902639363093602
B230323A14Rik,0.19276733253455164,0.04983528403444525
B930025P03Rik,0.21415148401427478,0.02378835228140774
B9d2,0.24128007611600696,0.031818553919483655
Bace2,0.1683360230254148,0.02472389841634317
Baiap3,0.5482402871397861,0.40937341507028646
Barhl1,0.2794230222437399,0.00891983785785721
Barhl2,0.21456283831471037,0.11360576172131667
Barx2,0.49230997595117076,0.10067256862446063
Baz1a,0.2525104503488059,0.01185210941542483
Bcl11a,0.48766913946509505,0.2441476114703191
Bcl11b,0.5070231584522976,0.21397888701737974
Bcl6,0.37868646378012977,0.07583293090328634
Bdnf,0.3960696801581437,0.11103618467309596
Bhlhe22,0.6171287676662017,0.20990598969328067
Bhlhe23,0.082640314365425,-0.002451405937661919
Blnk,0.13663637089024744,0.028521137512350768
Bmp2,0.2557460934316523,0.010058351248597712
Bmp3,0.2570265851560986,0.06333263031168944
Bmp4,0.3476255394064604,0.018979391101821667
Bmp6,0.6617433639507028,0.18809678530352558
Bmpr1b,0.24499092510605996,0.05527300680638172
Bnc2,0.5409442044672643,0.061008732360963026
Boc,0.4344794638644367,0.1871304644128543
Brs3,0.1444305569087169,0.005374449489522474
Bsx,0.27984140044336864,0.03700724708048263
Bves,0.21096331857462763,0.028750384436864885
C030029H02Rik,0.6038845141979019,0.13021878670232273
C130074G19Rik,0.5191285739603975,0.20176544542330707
C1ql1,0.07992855088900423,0.0026563241773866196
C1ql2,0.753195115152247,0.37320449540886896
C1ql3,0.5852300787580889,0.2819034318527096
C1qtnf7,0.4625519381741398,0.01267689893895269
C230014O12Rik,0.32217217423532557,0.020128611933214694
C7,0.1433224146694326,0.018264128630387268
C730002L08Rik,0.2289073372446062,0.044569138834344886
Cacng5,0.3132976737294603,0.1878011214573895
Calb1,0.5072597075232974,0.19985514142921504
Calb2,0.4673852490990279,0.2946035315270238
Calcr,0.4360064898588219,0.05270848716858753
Calcrl,0.18573943820897668,0.03427079909639042
Caln1,0.5511047799292745,0.17813965972804996
Car12,0.592321276853582,0.3307825627275787
Car3,0.31298258790584593,0.032764970603594255
Car4,0.2339714068090359,0.12004221767442337
Car8,0.11699624153699102,0.011534466584293336
Cartpt,0.2779358618585865,0.0771824172960056
Casq2,0.2692442137772219,0.016228413177708505
Casr,0.2675941491529493,0.099514319703004
Casz1,0.378812268313592,0.04523690010258491
Catsperd,0.12073304029746465,0.0011762437401289989
Cbln1,0.5473173266642575,0.27779487664473773
Cbln2,0.3887350995483759,0.13276318479738822
Cbln4,0.49176638369646275,0.14499711741712
Ccbe1,0.559046687390474,0.22913309912849483
Ccdc141,0.10472115830471583,0.06285532182517248
Ccdc187,0.47723218182015187,0.17331360440053406
Ccdc192,0.25286668730036355,0.0021590578788975878
Ccdc3,0.6088572445660587,0.21224631906387847
Ccdc42,0.6534942499571478,0.2535368227663624
Ccdc80,0.37774713099742063,0.05739826797808692
Cckar,0.24548345435959323,0.08132569195955033
Cckbr,0.46253223507454655,0.21925139853070938
Ccn2,0.359287979293985,0.09621881397853436
Ccn3,0.4644517312325004,0.25278071522360157
Ccn4,0.389785153269545,0.03981184688710097
Ccnb1,0.20475783706127598,0.015327717579883889
Ccnd2,0.4849242784574071,0.2154231349100079
Cd247,0.14097370902934803,0.005219510978907033
Cd24a,0.5467698162834164,0.24782623764918493
Cd34,0.327599768618613,0.16927455185039808
Cd36,0.23931812846769124,0.04691862605253674
Cd44,0.2433617584974994,0.012770808340664325
Cd79a,0.1304619891772913,0.0060067458907696976
Cdc14a,0.3922378274191809,0.027409700927844206
