gene,generated_moran_i,target_moran_i
1700057H15Rik,0.06850412095813631,-0.002182728494454688
2610028E06Rik,0.0621358708767689,-0.0007345546582101354
2900052N01Rik,0.28600591321588,0.06996713477806167
4921534H16Rik,0.2066879443678725,0.015926544034282755
4921539H07Rik,0.7877080933272338,0.41883015878587665
4930426D05Rik,0.08008714838863144,0.0213738112101882
4930438E09Rik,0.10298397454945188,0.006557566082819791
4930452B06Rik,0.2958094367321883,0.04775279046282
4930467D21Rik,0.08035503828792938,0.0028880332259006284
4930509J09Rik,0.11585312748142237,0.0009056385339644426
5830418P13Rik,0.23622237610265523,0.052045888750709986
6430628N08Rik,0.30630510168464253,0.12142212726957205
6530403H02Rik,0.1246310193640316,0.041389935296242124
9330158H04Rik,0.12171751578049714,0.002048944585738682
9630002D21Rik,0.1712885339741699,0.003261407339979502
A2m,0.7522133322914348,0.46739333749735923
A330076C08Rik,0.06743347735881967,0.02924368732967591
A630012P03Rik,0.10364807666682524,0.009174707737058358
A730046J19Rik,0.135842580142199,0.055261916041590455
A830009L08Rik,0.2672101038832207,0.03769801323524629
A830019P07Rik,0.13976261255147368,0.002747543716277526
A830036E02Rik,0.5289677428293428,0.2788024031957024
AW551984,0.43410558584762077,0.25358896977196893
Abca8a,0.25065402521788843,0.06836192620394922
Abcc9,0.13749864445033277,0.44737503844094445
Abhd12b,0.2692853268167195,0.14437415801751577
Abi3bp,0.46252136044365527,0.11939621208119057
Acsbg1,0.215132553935717,0.0795332786051975
Acta2,0.6630304485078311,0.2468316104468911
Actn2,0.4526740100903435,0.28768060446996263
Acvr1c,0.45766497376608645,0.075915608227489
Adad1,0.11982823052698577,0.004220337130023585
Adam12,0.28178392289329174,0.0790800041556824
Adam18,0.062092707110438794,0.012525721394432476
Adam33,0.571493231097013,0.21474108903441697
Adamts12,0.1711270352549624,0.009788441039183384
Adamts16,0.28901388911828196,0.08971924998588175
Adamts18,0.22461419881008937,0.10650468188257538
Adamts19,0.3590705196162212,0.2334906059302195
Adamts2,0.2784369943067274,0.07952415042715812
Adamts9,0.3108190106090683,0.07747151012123339
Adamtsl1,0.4890351133916216,0.14862305735138917
Adamtsl3,0.3245297350936369,0.06260815983986076
Adcy2,0.4750881824101513,0.23802624080518117
Adcy7,0.10958724033646591,0.02787870788594412
Adcy8,0.3374737032815789,0.1773351356044756
Adcyap1,0.5101903346514397,0.2232079830842299
Adgrd1,0.16598996696096702,0.051193703506889184
Adgrf5,0.09394020035586705,0.04588062772128246
Adgrg2,0.2105824056458002,0.004456340705921677
Adgrg6,0.23633856259881217,0.06824363331639831
Adgrl2,0.49251477724966164,0.22435352235411193
Adgrv1,0.6431230774368807,0.36235891837058065
Adh5,0.2303710230110429,0.031397593501234645
Adora1,0.5117576489230948,0.23933283946484182
Adora2a,0.6630857257435633,0.3225776872535266
Adra1a,0.12323998881239986,0.04781292671390217
Adra1b,0.27973969368369844,0.11738497484936067
Adra2a,0.29615113806301735,0.10473959802453356
Aff2,0.3423801865246038,0.11003881286817223
Agt,0.3273463296770315,0.20588786477727022
Agtr1a,0.08508516842649379,0.022595659431521774
Agtr2,0.16467320676168573,0.017488981463156535
Akain1,0.3162553218160115,0.04923071713081507
Akr7a5,0.2686999325917138,0.032913124685775064
Aldh1a3,0.11769401814568532,0.01079773009580247
Aldh1l1,0.16902299012360278,0.061370350408584955
Aldh3b2,0.10312723501070857,0.05569658566012396
Alk,0.12683728927316848,0.04695144664503335
Alox8,0.12424590005582091,0.04495341400318043
Alpk2,0.1424654171846796,0.01758442351407975
Amigo2,0.5835437258396257,0.3061367989307939
Angpt1,0.22862198678465628,0.03705506503035917
Ankfn1,0.5588130427442503,0.2680487366844922
Ankrd63,0.5175693497226707,0.2589601573399739
Ano1,0.48828582628744693,0.236951236705381
Ano2,0.34915735194550246,0.13098610875983213
Antxr2,0.4096865932159081,0.023797620542721023
Anxa2,0.5764919652477877,0.30598580602545383
Apela,0.0705559304348014,0.005188371327291906
Apex1,0.4057557050642848,0.06972081296480877
Apold1,0.06585716955930333,0.0156618142206696
Aqp1,0.7247144224575462,0.6433129213626764
Aqp4,0.2959464726246466,0.13286749585540653
Aqp6,0.10548919989584919,0.009966726045024982
Ar,0.3644466413047555,0.09620995313184157
Arhgap15,0.06326010796474574,0.01284619224257082
Arhgap22,0.20760400212825572,0.030251220135205037
Arhgap25,0.2228255615422892,0.08483706938753496
Arhgap28,0.3123920657524702,0.10074297480828935
Arhgap36,0.44148314654228343,0.18340466610542275
Arhgef26,0.2618873934648975,0.07568487322269836
Arhgef38,0.054795587607584136,0.0012056544603118772
Arntl,0.3409253139677454,0.07206733696753397
Arsj,0.3304729426616663,0.08864649395018735
Arx,0.17025351291569202,0.0807175316260741
Asb2,0.4398259641171707,0.20925278959203045
Asb4,0.389017470588091,0.20814786126884657
Ascl1,0.15916192334308987,0.04180401745980425
Asic4,0.31596473263794594,0.17346816921983202
Atp10a,0.1440120468327662,0.057113049423664575
Atp6ap1l,0.3752466320827813,0.11634976589338916
Atp6v1c2,0.5399714840529766,0.22786084175147275
Avpr1a,0.12331912168830977,0.060536998708825306
B020031H02Rik,0.45259479880549597,0.25223432410812735
B230323A14Rik,0.15385153323899034,0.0789108621808637
B930025P03Rik,0.25418585115894066,0.0314426293461079
B9d2,0.2709183211561314,0.04846022949963723
Bace2,0.16472067941470142,0.01609262031180733
Baiap3,0.6038505150148159,0.4498145998874265
Barhl1,0.15323749651587365,0.06503364316149292
Barhl2,0.1472016449223592,0.05015760928492204
Barx2,0.44944454657243116,0.19074032910445402
Baz1a,0.13274722226202296,0.01159598792807264
Bcl11a,0.5877909110063095,0.34266380602620083
Bcl11b,0.599416746709704,0.3036804318728813
Bcl6,0.40628318946180203,0.12125878529312986
Bdnf,0.4582477573573187,0.12403194543877406
Bhlhe22,0.6174762991870347,0.29493132130178523
Bhlhe23,0.08119416164021354,0.006634921491551598
Blnk,0.17118748267050785,0.0508544412284234
Bmp2,0.27356184772428627,0.029964757614550384
