class,gene,n_slices,z_min,z_max,z_coherence
01 IT-ET Glut,1700057H15Rik,32,0.4,10.354266571312971,0.7936433343678853
01 IT-ET Glut,2610028E06Rik,32,0.4,10.354266571312971,0.17244488591950918
01 IT-ET Glut,2900052N01Rik,32,0.4,10.354266571312971,0.854294408942089
01 IT-ET Glut,4921534H16Rik,32,0.4,10.354266571312971,0.925201683221946
01 IT-ET Glut,4921539H07Rik,32,0.4,10.354266571312971,0.9851599698067103
01 IT-ET Glut,4930426D05Rik,32,0.4,10.354266571312971,0.9910025174741107
01 IT-ET Glut,4930438E09Rik,32,0.4,10.354266571312971,0.8556035278388693
01 IT-ET Glut,4930452B06Rik,32,0.4,10.354266571312971,0.461457539779441
01 IT-ET Glut,4930467D21Rik,32,0.4,10.354266571312971,0.4281716068630335
01 IT-ET Glut,4930509J09Rik,32,0.4,10.354266571312971,0.9271105560893245
01 IT-ET Glut,5830418P13Rik,32,0.4,10.354266571312971,0.8544498253191752
01 IT-ET Glut,6430628N08Rik,32,0.4,10.354266571312971,0.6787677101269648
01 IT-ET Glut,6530403H02Rik,32,0.4,10.354266571312971,0.9304976052667758
01 IT-ET Glut,9330158H04Rik,32,0.4,10.354266571312971,-0.198698585747161
01 IT-ET Glut,9630002D21Rik,32,0.4,10.354266571312971,0.924255317613137
01 IT-ET Glut,A2m,32,0.4,10.354266571312971,0.910783712203825
01 IT-ET Glut,A330076C08Rik,32,0.4,10.354266571312971,0.21867650404079453
01 IT-ET Glut,A630012P03Rik,32,0.4,10.354266571312971,0.8737186476101558
01 IT-ET Glut,A730046J19Rik,32,0.4,10.354266571312971,0.06927067780622768
01 IT-ET Glut,A830009L08Rik,32,0.4,10.354266571312971,0.0727808235254378
01 IT-ET Glut,A830019P07Rik,32,0.4,10.354266571312971,-0.3208271702316682
01 IT-ET Glut,A830036E02Rik,32,0.4,10.354266571312971,0.9264550371974142
01 IT-ET Glut,AW551984,32,0.4,10.354266571312971,0.14729715557764508
01 IT-ET Glut,Abca8a,32,0.4,10.354266571312971,0.9674244883549976
01 IT-ET Glut,Abcc9,32,0.4,10.354266571312971,0.6112790833423228
01 IT-ET Glut,Abhd12b,32,0.4,10.354266571312971,0.305092497533178
01 IT-ET Glut,Abi3bp,32,0.4,10.354266571312971,0.9685444302250049
01 IT-ET Glut,Acsbg1,32,0.4,10.354266571312971,0.10736519728651635
01 IT-ET Glut,Acta2,32,0.4,10.354266571312971,0.6943132315197128
01 IT-ET Glut,Actn2,32,0.4,10.354266571312971,0.9880335103215274
01 IT-ET Glut,Acvr1c,32,0.4,10.354266571312971,0.9628005669532953
01 IT-ET Glut,Adad1,32,0.4,10.354266571312971,0.9083170390553564
01 IT-ET Glut,Adam12,32,0.4,10.354266571312971,0.9692909009042215
01 IT-ET Glut,Adam18,32,0.4,10.354266571312971,0.5630423066343038
01 IT-ET Glut,Adam33,32,0.4,10.354266571312971,0.9695057534519268
01 IT-ET Glut,Adamts12,32,0.4,10.354266571312971,0.8555793911641724
01 IT-ET Glut,Adamts16,32,0.4,10.354266571312971,0.9892959226581892
01 IT-ET Glut,Adamts18,32,0.4,10.354266571312971,0.969925528915904
01 IT-ET Glut,Adamts19,32,0.4,10.354266571312971,0.994125186633211
01 IT-ET Glut,Adamts2,32,0.4,10.354266571312971,0.9577124776077524
01 IT-ET Glut,Adamts9,32,0.4,10.354266571312971,0.8740357020849303
01 IT-ET Glut,Adamtsl1,32,0.4,10.354266571312971,0.9446541702562622
01 IT-ET Glut,Adamtsl3,32,0.4,10.354266571312971,0.998741563367216
01 IT-ET Glut,Adcy2,32,0.4,10.354266571312971,0.9934905521598159
01 IT-ET Glut,Adcy7,32,0.4,10.354266571312971,0.9738457416037211
01 IT-ET Glut,Adcy8,32,0.4,10.354266571312971,0.9837486328160724
01 IT-ET Glut,Adcyap1,32,0.4,10.354266571312971,0.9598895468310673
01 IT-ET Glut,Adgrd1,32,0.4,10.354266571312971,0.9847219093037612
01 IT-ET Glut,Adgrf5,32,0.4,10.354266571312971,-0.19084979538870225
01 IT-ET Glut,Adgrg2,32,0.4,10.354266571312971,0.423865784095073
01 IT-ET Glut,Adgrg6,32,0.4,10.354266571312971,0.9731084329120974
01 IT-ET Glut,Adgrl2,32,0.4,10.354266571312971,0.9887969154065506
01 IT-ET Glut,Adgrv1,32,0.4,10.354266571312971,0.9612805543706805
01 IT-ET Glut,Adh5,32,0.4,10.354266571312971,0.36415785415915775
01 IT-ET Glut,Adora1,32,0.4,10.354266571312971,0.8500651910611022
01 IT-ET Glut,Adora2a,32,0.4,10.354266571312971,0.30798218386162424
01 IT-ET Glut,Adra1a,32,0.4,10.354266571312971,-0.060356938132102765
01 IT-ET Glut,Adra1b,32,0.4,10.354266571312971,0.9455341444427696
01 IT-ET Glut,Adra2a,32,0.4,10.354266571312971,0.9801061266803319
01 IT-ET Glut,Aff2,32,0.4,10.354266571312971,0.9384124383202688
01 IT-ET Glut,Agt,32,0.4,10.354266571312971,0.9275775191663093
01 IT-ET Glut,Agtr1a,32,0.4,10.354266571312971,0.5239089711026234
01 IT-ET Glut,Agtr2,32,0.4,10.354266571312971,0.054306254335773775
01 IT-ET Glut,Akain1,32,0.4,10.354266571312971,0.9542061511793635
01 IT-ET Glut,Akr7a5,32,0.4,10.354266571312971,0.3871594168802516
01 IT-ET Glut,Aldh1a3,32,0.4,10.354266571312971,0.4838591895724094
01 IT-ET Glut,Aldh1l1,32,0.4,10.354266571312971,0.9908394518830445
01 IT-ET Glut,Aldh3b2,32,0.4,10.354266571312971,0.9781876769712512
01 IT-ET Glut,Alk,32,0.4,10.354266571312971,-0.15903280915773038
01 IT-ET Glut,Alox8,32,0.4,10.354266571312971,0.6623950605963776
01 IT-ET Glut,Alpk2,32,0.4,10.354266571312971,0.5588106892467382
01 IT-ET Glut,Amigo2,32,0.4,10.354266571312971,0.9856284594574888
01 IT-ET Glut,Angpt1,32,0.4,10.354266571312971,0.9663097715204129
01 IT-ET Glut,Ankfn1,32,0.4,10.354266571312971,0.8889387959627967
01 IT-ET Glut,Ankrd63,32,0.4,10.354266571312971,0.7756847902822156
01 IT-ET Glut,Ano1,32,0.4,10.354266571312971,0.9579463176004747
01 IT-ET Glut,Ano2,32,0.4,10.354266571312971,0.7250497919786089
01 IT-ET Glut,Antxr2,32,0.4,10.354266571312971,0.30870154185156096
01 IT-ET Glut,Anxa2,32,0.4,10.354266571312971,0.4917018706169285
01 IT-ET Glut,Apela,32,0.4,10.354266571312971,0.8949723021505382
01 IT-ET Glut,Apex1,32,0.4,10.354266571312971,0.8201775762811625
01 IT-ET Glut,Apold1,32,0.4,10.354266571312971,-0.071500296062941
01 IT-ET Glut,Aqp1,32,0.4,10.354266571312971,-0.3688514217214992
01 IT-ET Glut,Aqp4,32,0.4,10.354266571312971,0.5647140732075252
01 IT-ET Glut,Aqp6,32,0.4,10.354266571312971,0.1825767708499911
01 IT-ET Glut,Ar,32,0.4,10.354266571312971,0.986521410477379
01 IT-ET Glut,Arhgap15,32,0.4,10.354266571312971,0.9796083087344755
01 IT-ET Glut,Arhgap22,32,0.4,10.354266571312971,0.9202034524942173
01 IT-ET Glut,Arhgap25,32,0.4,10.354266571312971,0.728786132364676
01 IT-ET Glut,Arhgap28,32,0.4,10.354266571312971,0.9826659106913757
01 IT-ET Glut,Arhgap36,32,0.4,10.354266571312971,0.9117919669831415
01 IT-ET Glut,Arhgef26,32,0.4,10.354266571312971,0.5993557880627497
01 IT-ET Glut,Arhgef38,32,0.4,10.354266571312971,0.6621991911425731
01 IT-ET Glut,Arntl,32,0.4,10.354266571312971,0.9511078543870596
01 IT-ET Glut,Arsj,32,0.4,10.354266571312971,0.4709865503574638
01 IT-ET Glut,Arx,32,0.4,10.354266571312971,0.32171629563760584
01 IT-ET Glut,Asb2,32,0.4,10.354266571312971,-0.1759492302133708
01 IT-ET Glut,Asb4,32,0.4,10.354266571312971,-0.07446546860034166
01 IT-ET Glut,Ascl1,32,0.4,10.354266571312971,0.9805696748929924
01 IT-ET Glut,Asic4,32,0.4,10.354266571312971,0.8945055635869172
01 IT-ET Glut,Atp10a,32,0.4,10.354266571312971,0.7388147714435194
01 IT-ET Glut,Atp6ap1l,32,0.4,10.354266571312971,0.9439830947594772
01 IT-ET Glut,Atp6v1c2,32,0.4,10.354266571312971,0.9663353319776158
01 IT-ET Glut,Avpr1a,32,0.4,10.354266571312971,0.9580916914508433
01 IT-ET Glut,B020031H02Rik,32,0.4,10.354266571312971,-0.1536476389493034
01 IT-ET Glut,B230323A14Rik,32,0.4,10.354266571312971,0.693148164189119
01 IT-ET Glut,B930025P03Rik,32,0.4,10.354266571312971,0.8091854587517643
01 IT-ET Glut,B9d2,32,0.4,10.354266571312971,0.38328766187129226
01 IT-ET Glut,Bace2,32,0.4,10.354266571312971,0.5430882586431364
01 IT-ET Glut,Baiap3,32,0.4,10.354266571312971,0.8310812998064241
01 IT-ET Glut,Barhl1,32,0.4,10.354266571312971,0.8076677034270086
01 IT-ET Glut,Barhl2,32,0.4,10.354266571312971,0.995882132047168
01 IT-ET Glut,Barx2,32,0.4,10.354266571312971,0.9897928409337071
01 IT-ET Glut,Baz1a,32,0.4,10.354266571312971,-0.21257657504139812
01 IT-ET Glut,Bcl11a,32,0.4,10.354266571312971,0.8317982294371071
01 IT-ET Glut,Bcl11b,32,0.4,10.354266571312971,0.9658836193069805
01 IT-ET Glut,Bcl6,32,0.4,10.354266571312971,0.6994212495129264
01 IT-ET Glut,Bdnf,32,0.4,10.354266571312971,0.9183846789302845
01 IT-ET Glut,Bhlhe22,32,0.4,10.354266571312971,0.9507092084114069
01 IT-ET Glut,Bhlhe23,32,0.4,10.354266571312971,0.8907050743233756
01 IT-ET Glut,Blnk,32,0.4,10.354266571312971,0.9616255149790182
01 IT-ET Glut,Bmp2,32,0.4,10.354266571312971,0.9015483389898884
01 IT-ET Glut,Bmp3,32,0.4,10.354266571312971,0.6876647903965358
01 IT-ET Glut,Bmp4,32,0.4,10.354266571312971,0.5849343281065342
01 IT-ET Glut,Bmp6,32,0.4,10.354266571312971,0.7428605265408684
01 IT-ET Glut,Bmpr1b,32,0.4,10.354266571312971,0.9552663137386439
01 IT-ET Glut,Bnc2,32,0.4,10.354266571312971,0.02144017577142904
01 IT-ET Glut,Boc,32,0.4,10.354266571312971,0.9217602307300662
01 IT-ET Glut,Brs3,32,0.4,10.354266571312971,-0.07558082949433372
01 IT-ET Glut,Bsx,32,0.4,10.354266571312971,0.6109012503902238
01 IT-ET Glut,Bves,32,0.4,10.354266571312971,0.9718761584012763
01 IT-ET Glut,C030029H02Rik,32,0.4,10.354266571312971,0.30146208881119163
01 IT-ET Glut,C130074G19Rik,32,0.4,10.354266571312971,0.9933979731040127
01 IT-ET Glut,C1ql1,32,0.4,10.354266571312971,0.9380317742047989
01 IT-ET Glut,C1ql2,32,0.4,10.354266571312971,0.9928965670998595
01 IT-ET Glut,C1ql3,32,0.4,10.354266571312971,0.9969882658645207
01 IT-ET Glut,C1qtnf7,32,0.4,10.354266571312971,-0.19003045246185607
01 IT-ET Glut,C230014O12Rik,32,0.4,10.354266571312971,0.08001542950926527
01 IT-ET Glut,C7,32,0.4,10.354266571312971,0.9705324464330888
01 IT-ET Glut,C730002L08Rik,32,0.4,10.354266571312971,0.9672675051033879
01 IT-ET Glut,Cacng5,32,0.4,10.354266571312971,0.9854112533515627
01 IT-ET Glut,Calb1,32,0.4,10.354266571312971,0.9935565865263406
01 IT-ET Glut,Calb2,32,0.4,10.354266571312971,-0.07730319904733068
01 IT-ET Glut,Calcr,32,0.4,10.354266571312971,0.9399074648735002
01 IT-ET Glut,Calcrl,32,0.4,10.354266571312971,0.8499064788370102
