density_gap,density_name,generated_h5ad,label_support_labels,lower_ref_slice,mean_corr,median_gene_pearson,median_gene_spearman,moran_corr,n_genes,n_label_support_records,n_spots,per_class_metrics_csv,per_gene_metrics_csv,random_seed,ref_z_gap,target_slice,target_z,tau,upper_ref_slice,var_corr,z0,z1,zero_ks
3,dense_gap3,generated.h5ad,['07 CTX-MGE GABA'],4,0.995360638231199,0.1071370800011455,0.10418823074817432,0.7194235329569147,1122,1,12097,per_class_metrics.csv,per_gene_metrics.csv,32026,0.199997,5,0.1,0.49999249988749833,6,0.964179122353525,3e-06,0.2,0.11764705882352941
3,dense_gap3,generated.h5ad,['07 CTX-MGE GABA'],7,0.9714449395402062,0.08743366501517624,0.0825135210642145,0.764170793166277,1122,1,14975,per_class_metrics.csv,per_gene_metrics.csv,32027,0.2,8,0.4,0.5000000000000001,9,0.9759147985924064,0.3,0.5,0.23796791443850268
3,dense_gap3,generated.h5ad,"['15 HY Gnrh1 Glut', '19 MB Glut', '20 MB GABA', '24 MY Glut']",10,0.9860243171886657,0.09373821245417194,0.09021379136559622,0.7546215862566662,1122,4,7644,per_class_metrics.csv,per_gene_metrics.csv,32028,0.13968198279378197,11,0.6198209509757062,0.4994584491438181,12,0.9568982042832346,0.5500556044761904,0.6897375872699724,0.0784313725490196
3,dense_gap3,generated.h5ad,"['07 CTX-MGE GABA', '15 HY Gnrh1 Glut', '29 CB Glut']",13,0.9958277796504504,0.12382570305636283,0.1121379445850928,0.76316344865346,1122,3,11137,per_class_metrics.csv,per_gene_metrics.csv,32029,0.1428537083991429,14,0.8315371239389605,0.497469981800062,15,0.9914137338464369,0.7604716922215675,0.9033254006207104,0.13101604278074866
3,dense_gap3,generated.h5ad,"['18 TH Glut', '19 MB Glut']",16,0.9772825818314561,0.08607780541477003,0.08348143785865605,0.7441267044666748,1122,2,8524,per_class_metrics.csv,per_gene_metrics.csv,32030,0.14780683122339056,17,1.048082473034429,0.49273853788877614,18,0.9089555343729736,0.9752523511274424,1.123059182350833,0.05169340463458111
3,dense_gap3,generated.h5ad,[],19,0.9823665034147547,0.09214232103330326,0.0918331731311025,0.757489508405647,1122,0,11869,per_class_metrics.csv,per_gene_metrics.csv,32031,0.14499967739416708,20,1.267426870587095,0.506896222287726,21,0.9813526936272836,1.1939270818830527,1.3389267592772198,0.2103386809269162
3,dense_gap3,generated.h5ad,['01 IT-ET Glut'],22,0.9933966697500082,0.11076572944548302,0.10380368724124381,0.7590550699950799,1122,1,8844,per_class_metrics.csv,per_gene_metrics.csv,32032,0.29862611104281767,23,1.5048299989751572,0.3202643048773214,24,0.9852836418500811,1.4091907151038114,1.707816826146629,0.054367201426024955
3,dense_gap3,generated.h5ad,['04 DG-IMN Glut'],25,0.9935568751558904,0.1470842592995773,0.13895326415044273,0.7622188192615189,1122,1,9135,per_class_metrics.csv,per_gene_metrics.csv,32033,0.11144014405323022,26,1.970855827266864,0.5012604856787627,27,0.9777997529149957,1.9149952865346305,2.0264354305878607,0.13725490196078433
3,dense_gap3,generated.h5ad,[],28,0.9615792406761599,0.1859245352610131,0.16925156723968005,0.7704091141922438,1122,0,8129,per_class_metrics.csv,per_gene_metrics.csv,32034,0.10889970056024811,29,2.13729412231904,0.5101189700119276,30,0.9708414566642548,2.081742319234639,2.190642019794887,0.13636363636363635
3,dense_gap3,generated.h5ad,[],31,0.9881688821304776,0.15540004978331473,0.14546022687450966,0.8191572095326266,1122,0,9731,per_class_metrics.csv,per_gene_metrics.csv,32035,0.18323037951852816,32,2.348386946229994,0.427455935623943,33,0.9554511705673076,2.2700640329181714,2.4532944124366995,0.1408199643493761
3,dense_gap3,generated.h5ad,"['04 DG-IMN Glut', '24 MY Glut']",34,0.9917577503418599,0.18889119550404349,0.16538070862269885,0.7723025764283694,1122,2,10401,per_class_metrics.csv,per_gene_metrics.csv,32036,0.20458066209791603,35,2.6581191686244674,0.49767839100049743,36,0.97957788275374,2.55630379388176,2.760884455979676,0.12745098039215685
3,dense_gap3,generated.h5ad,"['12 HY GABA', '28 CB GABA']",37,0.9508466284575373,0.13683245028617344,0.12513901186242454,0.8125790982403129,1122,2,11621,per_class_metrics.csv,per_gene_metrics.csv,32037,0.2038098876943768,38,2.9657694261931926,0.5034010405738965,39,0.9249352723182648,2.8631713166485944,3.066981204342971,0.2985739750445633
3,dense_gap3,generated.h5ad,"['04 DG-IMN Glut', '32 OEC']",40,0.9625023747090085,0.17478010529875987,0.14991782016239194,0.7084882758157024,1122,2,12473,per_class_metrics.csv,per_gene_metrics.csv,32038,0.2009653852358526,41,3.294805636610366,0.5062680375289179,42,0.8910035868951227,3.193063285415768,3.3940286706516205,0.0374331550802139
3,dense_gap3,generated.h5ad,[],43,0.9698623667700161,0.14439032071939847,0.1330554095793281,0.7923981729320576,1122,0,17587,per_class_metrics.csv,per_gene_metrics.csv,32039,0.1706435044333814,44,3.59143993666362,0.4357434963743635,45,0.8744705863089005,3.517083139408244,3.6877266438416254,0.1746880570409982
3,dense_gap3,generated.h5ad,[],46,0.9832967114961353,0.19852898548620004,0.17022069012223567,0.8153149691809968,1122,0,20888,per_class_metrics.csv,per_gene_metrics.csv,32040,0.19472557139907876,47,3.882708780757101,0.5056888832363562,48,0.9792839607747307,3.7842382240187393,3.978963795417818,0.1319073083778966
3,dense_gap3,generated.h5ad,['23 P Glut'],49,0.9868620196620395,0.18851571262093292,0.15925648490928046,0.8277560063496668,1122,1,24075,per_class_metrics.csv,per_gene_metrics.csv,32041,0.1986042034169433,50,4.177422050348054,0.500235930609651,51,0.9751972713478145,4.078073091828791,4.276677295245734,0.23885918003565063
3,dense_gap3,generated.h5ad,['29 CB Glut'],52,0.9832721827635085,0.19060649334930319,0.16376540026036712,0.8026283205632536,1122,1,24776,per_class_metrics.csv,per_gene_metrics.csv,32042,0.20593179123750893,53,4.479026015191546,0.49807431468557195,54,0.9811282228649162,4.376456679398951,4.58238847063646,0.09803921568627451
3,dense_gap3,generated.h5ad,['22 MB-HB Sero'],55,0.9805314526595531,0.164067286792381,0.13854680805109693,0.7955208381234498,1122,1,22963,per_class_metrics.csv,per_gene_metrics.csv,32043,0.21118359203794945,56,4.791846418988289,0.4915098890660085,57,0.9786419518251546,4.688047595093155,4.899231187131105,0.23618538324420676
3,dense_gap3,generated.h5ad,"['20 MB GABA', '24 MY Glut']",58,0.9730890191433669,0.1953205871413692,0.16732504452089975,0.7836090933100263,1122,2,23905,per_class_metrics.csv,per_gene_metrics.csv,32044,0.21509374022481786,59,5.113621212334258,0.5002209497980794,60,0.9784191134110125,5.006026817303378,5.221120557528196,0.040998217468805706
3,dense_gap3,generated.h5ad,"['20 MB GABA', '28 CB GABA', '29 CB Glut']",61,0.960052344510053,0.19800872674501396,0.1699302856378822,0.8055382799842475,1122,3,28827,per_class_metrics.csv,per_gene_metrics.csv,32045,0.18610004074260278,62,5.383801203001265,0.43836709553650793,63,0.9249469991506412,5.302221068661704,5.488321109404307,0.15953654188948307
3,dense_gap3,generated.h5ad,[],64,0.9020927111206407,0.11439632464141249,0.09821833873640452,0.623393030979481,1122,0,19805,per_class_metrics.csv,per_gene_metrics.csv,32046,0.1847367209319044,65,5.6477504745482365,0.43356505563976006,66,0.9387875066403126,5.567655087858689,5.752391808790593,0.2014260249554367
