class,gene,n_slices,z_min,z_max,z_coherence
01 IT-ET Glut,1700057H15Rik,36,0.4,13.057739820419144,0.7399582350628717
01 IT-ET Glut,2610028E06Rik,36,0.4,13.057739820419144,0.35131063308756233
01 IT-ET Glut,2900052N01Rik,36,0.4,13.057739820419144,0.5230819385384371
01 IT-ET Glut,4921534H16Rik,36,0.4,13.057739820419144,0.5004716492378464
01 IT-ET Glut,4921539H07Rik,36,0.4,13.057739820419144,0.1886411239957307
01 IT-ET Glut,4930426D05Rik,36,0.4,13.057739820419144,0.34358375466017116
01 IT-ET Glut,4930438E09Rik,36,0.4,13.057739820419144,0.7413951615232445
01 IT-ET Glut,4930452B06Rik,36,0.4,13.057739820419144,-0.22868466169767454
01 IT-ET Glut,4930467D21Rik,36,0.4,13.057739820419144,0.5912664319131143
01 IT-ET Glut,4930509J09Rik,36,0.4,13.057739820419144,0.7396354455246931
01 IT-ET Glut,5830418P13Rik,36,0.4,13.057739820419144,-0.2070621000354168
01 IT-ET Glut,6430628N08Rik,36,0.4,13.057739820419144,0.7992843547114502
01 IT-ET Glut,6530403H02Rik,36,0.4,13.057739820419144,0.483525649122702
01 IT-ET Glut,9330158H04Rik,36,0.4,13.057739820419144,0.21327383272968492
01 IT-ET Glut,9630002D21Rik,36,0.4,13.057739820419144,0.7424238675547846
01 IT-ET Glut,A2m,36,0.4,13.057739820419144,-0.27011231311792183
01 IT-ET Glut,A330076C08Rik,36,0.4,13.057739820419144,0.18327660646383942
01 IT-ET Glut,A630012P03Rik,36,0.4,13.057739820419144,0.33100836795660266
01 IT-ET Glut,A730046J19Rik,36,0.4,13.057739820419144,0.40168676125351976
01 IT-ET Glut,A830009L08Rik,36,0.4,13.057739820419144,0.24155332515865877
01 IT-ET Glut,A830019P07Rik,36,0.4,13.057739820419144,-0.14001908722200124
01 IT-ET Glut,A830036E02Rik,36,0.4,13.057739820419144,-0.2505203361871264
01 IT-ET Glut,AW551984,36,0.4,13.057739820419144,0.6103730371925421
01 IT-ET Glut,Abca8a,36,0.4,13.057739820419144,0.6490245608319969
