class,gene,n_slices,z_min,z_max,z_coherence
01 IT-ET Glut,1700057H15Rik,36,0.4,13.057739820419144,0.739958235062872
01 IT-ET Glut,2610028E06Rik,36,0.4,13.057739820419144,0.351310633087563
01 IT-ET Glut,2900052N01Rik,36,0.4,13.057739820419144,0.5230819385384377
01 IT-ET Glut,4921534H16Rik,36,0.4,13.057739820419144,0.5004716492378473
01 IT-ET Glut,4921539H07Rik,36,0.4,13.057739820419144,0.1886506740132445
01 IT-ET Glut,4930426D05Rik,36,0.4,13.057739820419144,0.5766858945517028
01 IT-ET Glut,4930438E09Rik,36,0.4,13.057739820419144,0.7413951615232454
01 IT-ET Glut,4930452B06Rik,36,0.4,13.057739820419144,-0.2286846616976746
01 IT-ET Glut,4930467D21Rik,36,0.4,13.057739820419144,-0.2336440691271559
01 IT-ET Glut,4930509J09Rik,36,0.4,13.057739820419144,0.7396354455246933
01 IT-ET Glut,5830418P13Rik,36,0.4,13.057739820419144,-0.20706210003541678
01 IT-ET Glut,6430628N08Rik,36,0.4,13.057739820419144,0.7992843547114509
01 IT-ET Glut,6530403H02Rik,36,0.4,13.057739820419144,0.48352564912270257
01 IT-ET Glut,9330158H04Rik,36,0.4,13.057739820419144,-0.22495719331586247
01 IT-ET Glut,9630002D21Rik,36,0.4,13.057739820419144,0.7424238675547853
01 IT-ET Glut,A2m,36,0.4,13.057739820419144,-0.2703005916949921
01 IT-ET Glut,A330076C08Rik,36,0.4,13.057739820419144,0.18227953717727777
01 IT-ET Glut,A630012P03Rik,36,0.4,13.057739820419144,0.33100836795660443
01 IT-ET Glut,A730046J19Rik,36,0.4,13.057739820419144,0.4016867612535212
01 IT-ET Glut,A830009L08Rik,36,0.4,13.057739820419144,0.24140516371666842
01 IT-ET Glut,A830019P07Rik,36,0.4,13.057739820419144,-0.14001908722200104
01 IT-ET Glut,A830036E02Rik,36,0.4,13.057739820419144,0.20184555106050775
01 IT-ET Glut,AW551984,36,0.4,13.057739820419144,0.6103730371925424
01 IT-ET Glut,Abca8a,36,0.4,13.057739820419144,0.649024560831997
01 IT-ET Glut,Abcc9,36,0.4,13.057739820419144,0.6196914054092498
01 IT-ET Glut,Abhd12b,36,0.4,13.057739820419144,0.31111461807223373
01 IT-ET Glut,Abi3bp,36,0.4,13.057739820419144,0.7863472997749653
01 IT-ET Glut,Acsbg1,36,0.4,13.057739820419144,-0.07710571465136963
01 IT-ET Glut,Acta2,36,0.4,13.057739820419144,0.5187015637216226
01 IT-ET Glut,Actn2,36,0.4,13.057739820419144,0.34569942120393193
01 IT-ET Glut,Acvr1c,36,0.4,13.057739820419144,0.34428161603187313
01 IT-ET Glut,Adad1,36,0.4,13.057739820419144,0.519539096797996
01 IT-ET Glut,Adam12,36,0.4,13.057739820419144,0.6006044325980123
01 IT-ET Glut,Adam18,36,0.4,13.057739820419144,0.28572947184690345
01 IT-ET Glut,Adam33,36,0.4,13.057739820419144,0.43242093346214827
01 IT-ET Glut,Adamts12,36,0.4,13.057739820419144,0.7026184192594269
01 IT-ET Glut,Adamts16,36,0.4,13.057739820419144,0.44583688823894235
01 IT-ET Glut,Adamts18,36,0.4,13.057739820419144,0.6443787225182696
01 IT-ET Glut,Adamts19,36,0.4,13.057739820419144,0.10496468807335092
01 IT-ET Glut,Adamts2,36,0.4,13.057739820419144,-0.003069776694479481
01 IT-ET Glut,Adamts9,36,0.4,13.057739820419144,0.5311105529688334
01 IT-ET Glut,Adamtsl1,36,0.4,13.057739820419144,0.7483449393895166
01 IT-ET Glut,Adamtsl3,36,0.4,13.057739820419144,-0.3297835680593508
01 IT-ET Glut,Adcy2,36,0.4,13.057739820419144,0.5048524160934982
01 IT-ET Glut,Adcy7,36,0.4,13.057739820419144,0.7993058896482953
01 IT-ET Glut,Adcy8,36,0.4,13.057739820419144,0.32655043674652695
01 IT-ET Glut,Adcyap1,36,0.4,13.057739820419144,-0.14504417651391302
01 IT-ET Glut,Adgrd1,36,0.4,13.057739820419144,0.460890635354847
01 IT-ET Glut,Adgrf5,36,0.4,13.057739820419144,-0.10476579647739172
01 IT-ET Glut,Adgrg2,36,0.4,13.057739820419144,0.6047281098145632
01 IT-ET Glut,Adgrg6,36,0.4,13.057739820419144,0.527062793345338
01 IT-ET Glut,Adgrl2,36,0.4,13.057739820419144,0.2017618251088748
01 IT-ET Glut,Adgrv1,36,0.4,13.057739820419144,-0.19214409270764451
01 IT-ET Glut,Adh5,36,0.4,13.057739820419144,0.04251462526280258
01 IT-ET Glut,Adora1,36,0.4,13.057739820419144,-0.08197362476155401
01 IT-ET Glut,Adora2a,36,0.4,13.057739820419144,-0.4187242058778808
01 IT-ET Glut,Adra1a,36,0.4,13.057739820419144,0.03611472784496258
01 IT-ET Glut,Adra1b,36,0.4,13.057739820419144,0.4831911283893582
01 IT-ET Glut,Adra2a,36,0.4,13.057739820419144,0.7044735334981854
01 IT-ET Glut,Aff2,36,0.4,13.057739820419144,0.3020199183712855
01 IT-ET Glut,Agt,36,0.4,13.057739820419144,-0.2313651119767989
01 IT-ET Glut,Agtr1a,36,0.4,13.057739820419144,0.539265001802577
01 IT-ET Glut,Agtr2,36,0.4,13.057739820419144,-0.1481873114187934
01 IT-ET Glut,Akain1,36,0.4,13.057739820419144,0.35878537460121585
01 IT-ET Glut,Akr7a5,36,0.4,13.057739820419144,0.19712010034555558
01 IT-ET Glut,Aldh1a3,36,0.4,13.057739820419144,-0.2193734337443294
01 IT-ET Glut,Aldh1l1,36,0.4,13.057739820419144,-0.3555088380147065
01 IT-ET Glut,Aldh3b2,36,0.4,13.057739820419144,0.873523397778547
01 IT-ET Glut,Alk,36,0.4,13.057739820419144,0.6443962193692712
01 IT-ET Glut,Alox8,36,0.4,13.057739820419144,-0.181211755701957
01 IT-ET Glut,Alpk2,36,0.4,13.057739820419144,0.4226401383037063
01 IT-ET Glut,Amigo2,36,0.4,13.057739820419144,0.3197178291138947
01 IT-ET Glut,Angpt1,36,0.4,13.057739820419144,0.08241492218340243
01 IT-ET Glut,Ankfn1,36,0.4,13.057739820419144,0.23949532393812084
01 IT-ET Glut,Ankrd63,36,0.4,13.057739820419144,0.32126366223422725
01 IT-ET Glut,Ano1,36,0.4,13.057739820419144,-0.2771533388403822
01 IT-ET Glut,Ano2,36,0.4,13.057739820419144,0.7154108836839795
01 IT-ET Glut,Antxr2,36,0.4,13.057739820419144,0.34679892423858966
01 IT-ET Glut,Anxa2,36,0.4,13.057739820419144,-0.312571844842519
01 IT-ET Glut,Apela,36,0.4,13.057739820419144,0.4875616799147982
01 IT-ET Glut,Apex1,36,0.4,13.057739820419144,-0.14419685245962466
01 IT-ET Glut,Apold1,36,0.4,13.057739820419144,-0.11285894558718859
01 IT-ET Glut,Aqp1,36,0.4,13.057739820419144,-0.17268399577359478
01 IT-ET Glut,Aqp4,36,0.4,13.057739820419144,-0.22851877863529532
01 IT-ET Glut,Aqp6,36,0.4,13.057739820419144,0.5837043773161636
01 IT-ET Glut,Ar,36,0.4,13.057739820419144,-0.1569221754473318
01 IT-ET Glut,Arhgap15,36,0.4,13.057739820419144,0.5712267663337834
01 IT-ET Glut,Arhgap22,36,0.4,13.057739820419144,-0.06837894078689398
01 IT-ET Glut,Arhgap25,36,0.4,13.057739820419144,-0.16472773611134306
01 IT-ET Glut,Arhgap28,36,0.4,13.057739820419144,-0.07276761381619189
01 IT-ET Glut,Arhgap36,36,0.4,13.057739820419144,-0.19019745685108286
01 IT-ET Glut,Arhgef26,36,0.4,13.057739820419144,0.518138397802837
01 IT-ET Glut,Arhgef38,36,0.4,13.057739820419144,0.7007435009369962
01 IT-ET Glut,Arntl,36,0.4,13.057739820419144,0.058428964122896
01 IT-ET Glut,Arsj,36,0.4,13.057739820419144,0.18328587179973838
01 IT-ET Glut,Arx,36,0.4,13.057739820419144,0.001005137988665528
01 IT-ET Glut,Asb2,36,0.4,13.057739820419144,0.7644809770914996
01 IT-ET Glut,Asb4,36,0.4,13.057739820419144,0.13595958190537152
01 IT-ET Glut,Ascl1,36,0.4,13.057739820419144,0.5657683930210876
01 IT-ET Glut,Asic4,36,0.4,13.057739820419144,-0.20442988015332636
01 IT-ET Glut,Atp10a,36,0.4,13.057739820419144,0.014491913889405798
01 IT-ET Glut,Atp6ap1l,36,0.4,13.057739820419144,0.4191017104363368
01 IT-ET Glut,Atp6v1c2,36,0.4,13.057739820419144,0.7040001730306908
01 IT-ET Glut,Avpr1a,36,0.4,13.057739820419144,0.34872799330810156
01 IT-ET Glut,B020031H02Rik,36,0.4,13.057739820419144,0.647507464860161
01 IT-ET Glut,B230323A14Rik,36,0.4,13.057739820419144,-0.16269811412297142
01 IT-ET Glut,B930025P03Rik,36,0.4,13.057739820419144,0.47642924571461603
01 IT-ET Glut,B9d2,36,0.4,13.057739820419144,-0.27655316725195783
01 IT-ET Glut,Bace2,36,0.4,13.057739820419144,0.5241187083926945
01 IT-ET Glut,Baiap3,36,0.4,13.057739820419144,0.1308020696351289
01 IT-ET Glut,Barhl1,36,0.4,13.057739820419144,0.6812065654710528
01 IT-ET Glut,Barhl2,36,0.4,13.057739820419144,0.5551896370831686
01 IT-ET Glut,Barx2,36,0.4,13.057739820419144,-0.02258954805918296
01 IT-ET Glut,Baz1a,36,0.4,13.057739820419144,-0.10551375337348834
01 IT-ET Glut,Bcl11a,36,0.4,13.057739820419144,0.26993241925353595
01 IT-ET Glut,Bcl11b,36,0.4,13.057739820419144,0.0914796826629242
01 IT-ET Glut,Bcl6,36,0.4,13.057739820419144,0.4977985088542784
01 IT-ET Glut,Bdnf,36,0.4,13.057739820419144,0.11818336510611689
01 IT-ET Glut,Bhlhe22,36,0.4,13.057739820419144,0.3713404038538047
01 IT-ET Glut,Bhlhe23,36,0.4,13.057739820419144,0.5981230910302466
01 IT-ET Glut,Blnk,36,0.4,13.057739820419144,0.7810859567166398
01 IT-ET Glut,Bmp2,36,0.4,13.057739820419144,-0.20701361772879587
01 IT-ET Glut,Bmp3,36,0.4,13.057739820419144,-0.06995181952966036
01 IT-ET Glut,Bmp4,36,0.4,13.057739820419144,0.6707154407125849
01 IT-ET Glut,Bmp6,36,0.4,13.057739820419144,-0.09306889345682069
01 IT-ET Glut,Bmpr1b,36,0.4,13.057739820419144,0.7168545248710362
01 IT-ET Glut,Bnc2,36,0.4,13.057739820419144,-0.16400440981236078
01 IT-ET Glut,Boc,36,0.4,13.057739820419144,0.09557180850414239
01 IT-ET Glut,Brs3,36,0.4,13.057739820419144,0.20859503033111204
01 IT-ET Glut,Bsx,36,0.4,13.057739820419144,0.7171098135418769
01 IT-ET Glut,Bves,36,0.4,13.057739820419144,0.480067093901355
01 IT-ET Glut,C030029H02Rik,36,0.4,13.057739820419144,0.6631363852668911
01 IT-ET Glut,C130074G19Rik,36,0.4,13.057739820419144,0.7026693201840934
01 IT-ET Glut,C1ql1,36,0.4,13.057739820419144,0.8201345641777693
01 IT-ET Glut,C1ql2,36,0.4,13.057739820419144,0.9112189652429041
01 IT-ET Glut,C1ql3,36,0.4,13.057739820419144,0.5205649804165461
01 IT-ET Glut,C1qtnf7,36,0.4,13.057739820419144,-0.11178273364570082
01 IT-ET Glut,C230014O12Rik,36,0.4,13.057739820419144,-0.24721010394666176
01 IT-ET Glut,C7,36,0.4,13.057739820419144,0.5640234700395074
01 IT-ET Glut,C730002L08Rik,36,0.4,13.057739820419144,0.6678738130669631
01 IT-ET Glut,Cacng5,36,0.4,13.057739820419144,0.646515344848089
01 IT-ET Glut,Calb1,36,0.4,13.057739820419144,0.5792256933791826
01 IT-ET Glut,Calb2,36,0.4,13.057739820419144,-0.017201111503810255
01 IT-ET Glut,Calcr,36,0.4,13.057739820419144,0.4577787457695992
01 IT-ET Glut,Calcrl,36,0.4,13.057739820419144,0.38939145736562664
01 IT-ET Glut,Caln1,36,0.4,13.057739820419144,0.3710087992576537
01 IT-ET Glut,Car12,36,0.4,13.057739820419144,0.5002574382671975
01 IT-ET Glut,Car3,36,0.4,13.057739820419144,0.5999991627769559
01 IT-ET Glut,Car4,36,0.4,13.057739820419144,0.36187125633221223
01 IT-ET Glut,Car8,36,0.4,13.057739820419144,-0.27427997168498003
01 IT-ET Glut,Cartpt,36,0.4,13.057739820419144,0.23613118415020015
01 IT-ET Glut,Casq2,36,0.4,13.057739820419144,0.510774243924099
01 IT-ET Glut,Casr,36,0.4,13.057739820419144,0.7328101396354144
01 IT-ET Glut,Casz1,36,0.4,13.057739820419144,-0.2613438112967272
01 IT-ET Glut,Catsperd,36,0.4,13.057739820419144,0.46979330374537576
01 IT-ET Glut,Cbln1,36,0.4,13.057739820419144,0.3844743641554429
01 IT-ET Glut,Cbln2,36,0.4,13.057739820419144,0.3504236814217984
01 IT-ET Glut,Cbln4,36,0.4,13.057739820419144,0.5597281581198658
01 IT-ET Glut,Ccbe1,36,0.4,13.057739820419144,0.5927500991883063
01 IT-ET Glut,Ccdc141,36,0.4,13.057739820419144,-0.24532502137449053
01 IT-ET Glut,Ccdc187,36,0.4,13.057739820419144,0.6367063974998534
01 IT-ET Glut,Ccdc192,36,0.4,13.057739820419144,-0.21810872620953847
01 IT-ET Glut,Ccdc3,36,0.4,13.057739820419144,0.6365159073131775
01 IT-ET Glut,Ccdc42,36,0.4,13.057739820419144,0.7916067225102866
01 IT-ET Glut,Ccdc80,36,0.4,13.057739820419144,0.6330205593492486
01 IT-ET Glut,Cckar,36,0.4,13.057739820419144,-0.23554434291496223
01 IT-ET Glut,Cckbr,36,0.4,13.057739820419144,0.5333725678230224
01 IT-ET Glut,Ccn2,36,0.4,13.057739820419144,-0.017955985429682297
01 IT-ET Glut,Ccn3,36,0.4,13.057739820419144,0.6784811722405719
01 IT-ET Glut,Ccn4,36,0.4,13.057739820419144,-0.109786060586136
01 IT-ET Glut,Ccnb1,36,0.4,13.057739820419144,0.6646076302672751
01 IT-ET Glut,Ccnd2,36,0.4,13.057739820419144,0.3238456783618142
01 IT-ET Glut,Cd247,36,0.4,13.057739820419144,-0.11924690574355801
01 IT-ET Glut,Cd24a,36,0.4,13.057739820419144,0.247575846150505
01 IT-ET Glut,Cd34,36,0.4,13.057739820419144,0.08228654261086263
01 IT-ET Glut,Cd36,36,0.4,13.057739820419144,-0.2036305600530514
01 IT-ET Glut,Cd44,36,0.4,13.057739820419144,0.5353013789110463
01 IT-ET Glut,Cd79a,36,0.4,13.057739820419144,0.5946986067256189
01 IT-ET Glut,Cdc14a,36,0.4,13.057739820419144,0.5850721655922496
01 IT-ET Glut,Cdh20,36,0.4,13.057739820419144,0.1501758042449979
01 IT-ET Glut,Cdh23,36,0.4,13.057739820419144,-0.15727398015295688
01 IT-ET Glut,Cdh3,36,0.4,13.057739820419144,0.334274880116516
01 IT-ET Glut,Cdh6,36,0.4,13.057739820419144,-0.15779863829251603
01 IT-ET Glut,Cdh9,36,0.4,13.057739820419144,0.5357073594259829
01 IT-ET Glut,Cdhr1,36,0.4,13.057739820419144,0.6968634270981259
01 IT-ET Glut,Cdk15,36,0.4,13.057739820419144,-0.14589672349352206
01 IT-ET Glut,Cdkn1a,36,0.4,13.057739820419144,0.154536362387299
01 IT-ET Glut,Cdkn1c,36,0.4,13.057739820419144,0.6812099189417922
01 IT-ET Glut,Cfap206,36,0.4,13.057739820419144,0.725578431958484
01 IT-ET Glut,Cftr,36,0.4,13.057739820419144,-0.24558285963263413
01 IT-ET Glut,Cgnl1,36,0.4,13.057739820419144,-0.031942336743602515
01 IT-ET Glut,Chat,36,0.4,13.057739820419144,-0.26760692040266665
01 IT-ET Glut,Chn2,36,0.4,13.057739820419144,-0.28128260133334215
