gene,generated_moran_i,target_moran_i
1700057H15Rik,0.1873658276350701,-0.0004941396046587151
2610028E06Rik,0.0860485169235672,0.00989680000398463
2900052N01Rik,0.21869646566746195,0.01706307532894419
4921534H16Rik,0.1370094523589433,0.005282721977942583
4921539H07Rik,0.31553366998806637,0.057314838533411634
4930426D05Rik,0.22360124502898807,0.02458657926207148
4930438E09Rik,0.07405631616241504,0.007775153305125831
4930452B06Rik,0.18627577903998346,0.13169880621563224
4930467D21Rik,0.16013422064104496,0.013833650821398199
4930509J09Rik,0.31873974473929895,0.010960383492200366
5830418P13Rik,0.21355685546449343,0.005035173355998297
6430628N08Rik,0.0610935576350576,-0.002412121178931141
6530403H02Rik,0.31486504592508985,0.0037479810472595835
9330158H04Rik,0.08213472947223116,-0.0004634092596529783
9630002D21Rik,0.037901456176301154,-0.007932018961430753
A2m,0.2507598347369428,0.039211271072860876
A330076C08Rik,0.1689339258952182,0.009898424177123605
A630012P03Rik,0.07060192513872357,-0.0027702201860976077
A730046J19Rik,0.11771175455617099,0.0072162217171443145
A830009L08Rik,0.302613792672483,0.0006914912718584537
A830019P07Rik,0.06296236343651071,-0.0025710967077785286
A830036E02Rik,0.4391193983186891,0.21543593356713334
AW551984,0.10375897874481256,0.006068094475479389
Abca8a,0.15194747555610114,0.03129784111666827
Abcc9,0.17816422618027516,-0.0007077567120913669
Abhd12b,0.1486908848727003,0.005039166070409565
Abi3bp,0.6891604834569556,0.352664910274901
Acsbg1,0.11705291318677316,0.05701709410590273
Acta2,0.6411071860028581,0.18774060423020392
Actn2,0.4596145828670084,0.06777127551782808
Acvr1c,0.5595676791469856,0.19998240255090755
Adad1,0.0387827804209534,-2.154924483388193e-06
Adam12,0.27122240757072885,0.06141897812537939
Adam18,0.14991780183746797,0.005631249757446823
Adam33,0.2944827334517412,0.01632396185608355
Adamts12,0.13881308467474468,-8.447628667708968e-05
Adamts16,0.3089706286272696,0.07360165734988466
Adamts18,0.17247352111872166,0.027928273549191456
Adamts19,0.0783157118891608,0.006654190509478282
Adamts2,0.23177117474135742,0.056541326032183904
Adamts9,0.3412572060532861,0.029391939978199347
Adamtsl1,0.3274183706845512,0.10636485995349221
Adamtsl3,0.3708458777137057,0.06646887195062055
Adcy2,0.36052115340710683,0.16040939647993566
Adcy7,0.05017430413912754,-0.003909854551929329
Adcy8,0.23042280569754575,0.10856058037240843
Adcyap1,0.19826276808785817,0.07544829481736852
Adgrd1,0.1424427871741582,0.04383635247242118
Adgrf5,0.034272600323541756,0.029014125381985317
Adgrg2,0.12626361048931178,0.0014959293881569755
Adgrg6,0.2632211574003304,0.05458353908011901
Adgrl2,0.452675805637505,0.2044893357260982
Adgrv1,0.08858307944462722,0.008773114791814437
Adh5,0.2109347680124091,0.013562929085320445
Adora1,0.3508118109154223,0.17392423203431776
Adora2a,0.16158843666214537,0.009483226694919451
Adra1a,0.1284136990117035,0.05118660478947769
Adra1b,0.2098233784294587,0.05213325833636874
Adra2a,0.5016079327769907,0.21631789001511448
Aff2,0.28819438755507487,0.08470907491177838
Agt,0.1867613018525042,0.02028907928731394
Agtr1a,0.0855104397462442,0.005400072114073988
Agtr2,0.2175060318068307,0.02105623844487438
Akain1,0.08318551660844727,0.01701295599842404
Akr7a5,0.16906098387591534,0.012939998255966952
Aldh1a3,0.4763826283591794,0.07056385020197395
Aldh1l1,0.2222612347402635,0.05310540735113859
Aldh3b2,0.2051646640348527,0.0039055501265723553
Alk,0.05835535921547834,0.018976554470359248
Alox8,0.09630639230483348,-0.0007037733709891658
Alpk2,0.2824917214452069,0.028280326817671467
Amigo2,0.2358425091994651,0.017412969043333764
Angpt1,0.3760678550714602,0.04650946216442519
Ankfn1,0.3600092634301047,0.14731215647870868
Ankrd63,0.5136289347253433,0.15209145230151827
Ano1,0.3283853730591391,0.009159793109493147
Ano2,0.330493972317113,0.006335626067580103
Antxr2,0.266867385533569,0.023624147195840734
Anxa2,0.49642923785953164,0.0829849049674084
Apela,0.09179839757016056,0.00038080493054066443
Apex1,0.33731041034334225,0.030908141577080873
Apold1,0.07962810869362584,0.01112472402210052
Aqp1,0.11795172341500405,-0.0061800995170293764
Aqp4,0.33862328561991933,0.17272636464872107
