gene,generated_moran_i,target_moran_i
1700057H15Rik,0.11694166742400892,0.0014261451207780687
2610028E06Rik,0.07513602780992111,0.002570865388539321
2900052N01Rik,0.3300921018698124,0.025212623059304027
4921534H16Rik,0.15224344571216644,-0.0035336464691127023
4921539H07Rik,0.13804758802597114,0.015719783287940325
4930426D05Rik,0.08864247739971651,0.001770520345634164
4930438E09Rik,0.07556550229085607,0.0027908703738576206
4930452B06Rik,0.27534084135936127,0.014942473188202339
4930467D21Rik,0.1452818132609644,0.012869843488897996
4930509J09Rik,0.08523326619593505,0.002543970995670736
5830418P13Rik,0.20331673238205472,0.022295790894861896
6430628N08Rik,0.09194275065949117,0.005496405155252774
6530403H02Rik,0.15356246400983198,0.007866740753530879
9330158H04Rik,0.07084794218002861,0.0007481382607480216
9630002D21Rik,0.05205490728981836,0.0036177942016245
A2m,0.5084958960105519,0.13728782239225548
A330076C08Rik,0.07828930400746371,0.023364641844374184
A630012P03Rik,0.0656752337082544,0.011539993834186992
A730046J19Rik,0.20347919166249287,0.0023603012255966793
A830009L08Rik,0.24907828460768566,0.021676219140029766
A830019P07Rik,0.14456688308534651,0.0009843419596204624
A830036E02Rik,0.4912710421383282,0.25090991298342574
AW551984,0.1921991457601488,0.044497110366384075
Abca8a,0.23744018563167388,0.05665079343689269
Abcc9,0.14585156553139056,0.005296494927285703
Abhd12b,0.10490368972758755,0.0044873175301771255
Abi3bp,0.32655108341327094,0.0345946917316717
Acsbg1,0.18131233133100244,0.0628148712688984
Acta2,0.8062449148430533,0.35801365486650977
Actn2,0.4501964407872189,0.0847434654363194
Acvr1c,0.4182617223736542,0.038540503132049174
Adad1,0.15419554942754995,0.0086901910856552
Adam12,0.4111819082548054,0.09307959509785729
Adam18,0.1070938080888618,-0.0001870413672206137
Adam33,0.36981382637473514,0.05175418121338629
Adamts12,0.25289317119296617,0.006175568203561634
Adamts16,0.2892864139027291,0.04982228832192696
Adamts18,0.17134078615870743,0.043736282835947334
Adamts19,0.13302737491807073,0.009689644420669151
Adamts2,0.3178895865306709,0.056241658742230055
Adamts9,0.37313458739862193,0.037196682902333966
Adamtsl1,0.4178550487407565,0.03762590041464134
Adamtsl3,0.46580071290288255,0.13347861830494542
Adcy2,0.32648144901670006,0.136010383543262
Adcy7,0.14474503203553812,0.02492647418685375
Adcy8,0.28300748813571774,0.1472337906993629
Adcyap1,0.13745330176059173,0.030698768015903002
Adgrd1,0.15361221810362338,0.013753735361228557
Adgrf5,0.049410327394184904,0.024107615443083933
Adgrg2,0.1679270686698424,0.0007198036678976408
Adgrg6,0.382515328458418,0.0760398025714947
Adgrl2,0.42321399776513857,0.14273413328658072
Adgrv1,0.24351288223153,0.052897063796770796
Adh5,0.23804012628992194,0.016166329030619996
Adora1,0.33547739634974344,0.09449589172059865
Adora2a,0.13838592239738084,0.012686205582817198
Adra1a,0.16381228574391912,0.020584458323346076
Adra1b,0.1920100396484882,0.03150537392517606
Adra2a,0.28459182649160836,0.0776859739503248
