class,gene,n_slices,z_min,z_max,z_coherence
01 IT-ET Glut,1700057H15Rik,19,1.970855827266864,10.354266571312971,0.7020106840391348
01 IT-ET Glut,2610028E06Rik,19,1.970855827266864,10.354266571312971,-0.22323231665834992
01 IT-ET Glut,2900052N01Rik,19,1.970855827266864,10.354266571312971,0.6977736115958001
01 IT-ET Glut,4921534H16Rik,19,1.970855827266864,10.354266571312971,0.9152411955076587
01 IT-ET Glut,4921539H07Rik,19,1.970855827266864,10.354266571312971,0.9708157408525718
01 IT-ET Glut,4930426D05Rik,19,1.970855827266864,10.354266571312971,0.9914240609873975
01 IT-ET Glut,4930438E09Rik,19,1.970855827266864,10.354266571312971,0.7555078960625596
01 IT-ET Glut,4930452B06Rik,19,1.970855827266864,10.354266571312971,0.9746001796704463
01 IT-ET Glut,4930467D21Rik,19,1.970855827266864,10.354266571312971,-0.1795236823051949
01 IT-ET Glut,4930509J09Rik,19,1.970855827266864,10.354266571312971,0.9021393174780767
01 IT-ET Glut,5830418P13Rik,19,1.970855827266864,10.354266571312971,0.9025751060996882
01 IT-ET Glut,6430628N08Rik,19,1.970855827266864,10.354266571312971,0.5691655709969003
01 IT-ET Glut,6530403H02Rik,19,1.970855827266864,10.354266571312971,0.8665970690074871
01 IT-ET Glut,9330158H04Rik,19,1.970855827266864,10.354266571312971,-0.5109311904610095
01 IT-ET Glut,9630002D21Rik,19,1.970855827266864,10.354266571312971,0.8634872497565832
01 IT-ET Glut,A2m,19,1.970855827266864,10.354266571312971,0.9230605806130213
01 IT-ET Glut,A330076C08Rik,19,1.970855827266864,10.354266571312971,0.9465860688673563
01 IT-ET Glut,A630012P03Rik,19,1.970855827266864,10.354266571312971,0.7265902473265675
01 IT-ET Glut,A730046J19Rik,19,1.970855827266864,10.354266571312971,-0.1452233275408032
01 IT-ET Glut,A830009L08Rik,19,1.970855827266864,10.354266571312971,0.7714643507895935
01 IT-ET Glut,A830019P07Rik,19,1.970855827266864,10.354266571312971,0.8669105847258423
01 IT-ET Glut,A830036E02Rik,19,1.970855827266864,10.354266571312971,0.9934499278720232
01 IT-ET Glut,AW551984,19,1.970855827266864,10.354266571312971,0.045181618208292924
01 IT-ET Glut,Abca8a,19,1.970855827266864,10.354266571312971,0.9758533911905656
01 IT-ET Glut,Abcc9,19,1.970855827266864,10.354266571312971,0.714562685518833
01 IT-ET Glut,Abhd12b,19,1.970855827266864,10.354266571312971,0.006620407867432944
01 IT-ET Glut,Abi3bp,19,1.970855827266864,10.354266571312971,0.9993238507970502
01 IT-ET Glut,Acsbg1,19,1.970855827266864,10.354266571312971,0.791905926284243
01 IT-ET Glut,Acta2,19,1.970855827266864,10.354266571312971,0.43944623532805904
01 IT-ET Glut,Actn2,19,1.970855827266864,10.354266571312971,0.9916164939112059
01 IT-ET Glut,Acvr1c,19,1.970855827266864,10.354266571312971,0.9825631057475849
01 IT-ET Glut,Adad1,19,1.970855827266864,10.354266571312971,0.8790331706117374
01 IT-ET Glut,Adam12,19,1.970855827266864,10.354266571312971,0.9809556556623127
01 IT-ET Glut,Adam18,19,1.970855827266864,10.354266571312971,0.3495472148677209
01 IT-ET Glut,Adam33,19,1.970855827266864,10.354266571312971,0.9665737578767805
01 IT-ET Glut,Adamts12,19,1.970855827266864,10.354266571312971,0.7953334213391321
01 IT-ET Glut,Adamts16,19,1.970855827266864,10.354266571312971,0.9917690522584917
01 IT-ET Glut,Adamts18,19,1.970855827266864,10.354266571312971,0.9659425488650738
01 IT-ET Glut,Adamts19,19,1.970855827266864,10.354266571312971,0.9962327794158914
01 IT-ET Glut,Adamts2,19,1.970855827266864,10.354266571312971,0.96910641433119
01 IT-ET Glut,Adamts9,19,1.970855827266864,10.354266571312971,0.8066083341480783
01 IT-ET Glut,Adamtsl1,19,1.970855827266864,10.354266571312971,0.9508875507324914
01 IT-ET Glut,Adamtsl3,19,1.970855827266864,10.354266571312971,0.9388154004622628
01 IT-ET Glut,Adcy2,19,1.970855827266864,10.354266571312971,0.9913522916976119
01 IT-ET Glut,Adcy7,19,1.970855827266864,10.354266571312971,0.9760856952884163
01 IT-ET Glut,Adcy8,19,1.970855827266864,10.354266571312971,0.8843761246004294
01 IT-ET Glut,Adcyap1,19,1.970855827266864,10.354266571312971,0.993352122745679
01 IT-ET Glut,Adgrd1,19,1.970855827266864,10.354266571312971,0.9798127153935737
01 IT-ET Glut,Adgrf5,19,1.970855827266864,10.354266571312971,0.3290791625147527
01 IT-ET Glut,Adgrg2,19,1.970855827266864,10.354266571312971,0.27001680489513497
01 IT-ET Glut,Adgrg6,19,1.970855827266864,10.354266571312971,0.96072924918077
01 IT-ET Glut,Adgrl2,19,1.970855827266864,10.354266571312971,0.9848815814091211
01 IT-ET Glut,Adgrv1,19,1.970855827266864,10.354266571312971,0.9312496752563849
01 IT-ET Glut,Adh5,19,1.970855827266864,10.354266571312971,0.8993850562387298
01 IT-ET Glut,Adora1,19,1.970855827266864,10.354266571312971,0.9481429042362312
01 IT-ET Glut,Adora2a,19,1.970855827266864,10.354266571312971,-0.09035401182706448
01 IT-ET Glut,Adra1a,19,1.970855827266864,10.354266571312971,0.955361421786304
01 IT-ET Glut,Adra1b,19,1.970855827266864,10.354266571312971,0.936712329833256
01 IT-ET Glut,Adra2a,19,1.970855827266864,10.354266571312971,0.9769705739856194
01 IT-ET Glut,Aff2,19,1.970855827266864,10.354266571312971,0.9859363840503669
01 IT-ET Glut,Agt,19,1.970855827266864,10.354266571312971,0.8606357901695844
01 IT-ET Glut,Agtr1a,19,1.970855827266864,10.354266571312971,0.2749142972839455
01 IT-ET Glut,Agtr2,19,1.970855827266864,10.354266571312971,0.42786321799239013
01 IT-ET Glut,Akain1,19,1.970855827266864,10.354266571312971,0.8314027264620855
01 IT-ET Glut,Akr7a5,19,1.970855827266864,10.354266571312971,0.9896238804293207
01 IT-ET Glut,Aldh1a3,19,1.970855827266864,10.354266571312971,0.41429189060715876
01 IT-ET Glut,Aldh1l1,19,1.970855827266864,10.354266571312971,0.9288975498139189
01 IT-ET Glut,Aldh3b2,19,1.970855827266864,10.354266571312971,0.9825401675436776
01 IT-ET Glut,Alk,19,1.970855827266864,10.354266571312971,0.9364346610597349
01 IT-ET Glut,Alox8,19,1.970855827266864,10.354266571312971,0.5279659947019237
01 IT-ET Glut,Alpk2,19,1.970855827266864,10.354266571312971,0.24763946952490246
01 IT-ET Glut,Amigo2,19,1.970855827266864,10.354266571312971,0.9618802949708429
01 IT-ET Glut,Angpt1,19,1.970855827266864,10.354266571312971,0.9323539011646785
01 IT-ET Glut,Ankfn1,19,1.970855827266864,10.354266571312971,0.9795459060029146
01 IT-ET Glut,Ankrd63,19,1.970855827266864,10.354266571312971,0.9881344636863926
01 IT-ET Glut,Ano1,19,1.970855827266864,10.354266571312971,0.9536743214175836
01 IT-ET Glut,Ano2,19,1.970855827266864,10.354266571312971,0.6394545187985671
01 IT-ET Glut,Antxr2,19,1.970855827266864,10.354266571312971,-0.14342967356619396
01 IT-ET Glut,Anxa2,19,1.970855827266864,10.354266571312971,0.031839586800564715
01 IT-ET Glut,Apela,19,1.970855827266864,10.354266571312971,0.8932460121222765
01 IT-ET Glut,Apex1,19,1.970855827266864,10.354266571312971,0.8928974892992156
01 IT-ET Glut,Apold1,19,1.970855827266864,10.354266571312971,0.9532486878878772
01 IT-ET Glut,Aqp1,19,1.970855827266864,10.354266571312971,0.7157892203744518
01 IT-ET Glut,Aqp4,19,1.970855827266864,10.354266571312971,0.9767650679851835
01 IT-ET Glut,Aqp6,19,1.970855827266864,10.354266571312971,-0.3507276536511989
01 IT-ET Glut,Ar,19,1.970855827266864,10.354266571312971,0.9875958432879252
01 IT-ET Glut,Arhgap15,19,1.970855827266864,10.354266571312971,0.9814805527918034
01 IT-ET Glut,Arhgap22,19,1.970855827266864,10.354266571312971,0.9263956470108894
01 IT-ET Glut,Arhgap25,19,1.970855827266864,10.354266571312971,0.5109003100331506
01 IT-ET Glut,Arhgap28,19,1.970855827266864,10.354266571312971,0.9748512173394323
01 IT-ET Glut,Arhgap36,19,1.970855827266864,10.354266571312971,0.9197845998356786
01 IT-ET Glut,Arhgef26,19,1.970855827266864,10.354266571312971,0.9380098184602931
01 IT-ET Glut,Arhgef38,19,1.970855827266864,10.354266571312971,0.7191643504585463
01 IT-ET Glut,Arntl,19,1.970855827266864,10.354266571312971,0.977352782863979
01 IT-ET Glut,Arsj,19,1.970855827266864,10.354266571312971,0.40346292095709074
01 IT-ET Glut,Arx,19,1.970855827266864,10.354266571312971,0.9569860220043107
01 IT-ET Glut,Asb2,19,1.970855827266864,10.354266571312971,0.9562465896437741
01 IT-ET Glut,Asb4,19,1.970855827266864,10.354266571312971,-0.31428839332724506
01 IT-ET Glut,Ascl1,19,1.970855827266864,10.354266571312971,0.9691705292524834
01 IT-ET Glut,Asic4,19,1.970855827266864,10.354266571312971,0.9025607370966318
01 IT-ET Glut,Atp10a,19,1.970855827266864,10.354266571312971,0.9406513910535008
01 IT-ET Glut,Atp6ap1l,19,1.970855827266864,10.354266571312971,0.8808477753447725
01 IT-ET Glut,Atp6v1c2,19,1.970855827266864,10.354266571312971,0.9635549369422388
01 IT-ET Glut,Avpr1a,19,1.970855827266864,10.354266571312971,0.9226183369594511
01 IT-ET Glut,B020031H02Rik,19,1.970855827266864,10.354266571312971,-0.5210454683912901
01 IT-ET Glut,B230323A14Rik,19,1.970855827266864,10.354266571312971,0.16374879764898548
01 IT-ET Glut,B930025P03Rik,19,1.970855827266864,10.354266571312971,0.37945721053477727
01 IT-ET Glut,B9d2,19,1.970855827266864,10.354266571312971,0.9888702418849459
01 IT-ET Glut,Bace2,19,1.970855827266864,10.354266571312971,0.24297960635696042
01 IT-ET Glut,Baiap3,19,1.970855827266864,10.354266571312971,0.6992761471980845
01 IT-ET Glut,Barhl1,19,1.970855827266864,10.354266571312971,0.7396203010618876
01 IT-ET Glut,Barhl2,19,1.970855827266864,10.354266571312971,-0.25148021556010597
01 IT-ET Glut,Barx2,19,1.970855827266864,10.354266571312971,0.991542277275821
01 IT-ET Glut,Baz1a,19,1.970855827266864,10.354266571312971,0.3709071341050141
01 IT-ET Glut,Bcl11a,19,1.970855827266864,10.354266571312971,0.8641611201346104
01 IT-ET Glut,Bcl11b,19,1.970855827266864,10.354266571312971,0.9955136267887307
01 IT-ET Glut,Bcl6,19,1.970855827266864,10.354266571312971,0.8750253446806383
01 IT-ET Glut,Bdnf,19,1.970855827266864,10.354266571312971,0.8279996460708123
01 IT-ET Glut,Bhlhe22,19,1.970855827266864,10.354266571312971,0.8724514890914637
01 IT-ET Glut,Bhlhe23,19,1.970855827266864,10.354266571312971,0.7658738679963043
01 IT-ET Glut,Blnk,19,1.970855827266864,10.354266571312971,0.9382882680538986
01 IT-ET Glut,Bmp2,19,1.970855827266864,10.354266571312971,0.9466305364005869
01 IT-ET Glut,Bmp3,19,1.970855827266864,10.354266571312971,0.9420645413402485
01 IT-ET Glut,Bmp4,19,1.970855827266864,10.354266571312971,0.25808725936107
01 IT-ET Glut,Bmp6,19,1.970855827266864,10.354266571312971,0.7438384915632035
01 IT-ET Glut,Bmpr1b,19,1.970855827266864,10.354266571312971,0.9960266678327422
01 IT-ET Glut,Bnc2,19,1.970855827266864,10.354266571312971,0.8856805198582639
01 IT-ET Glut,Boc,19,1.970855827266864,10.354266571312971,0.9752609662124414
01 IT-ET Glut,Brs3,19,1.970855827266864,10.354266571312971,-0.25424775178321884
01 IT-ET Glut,Bsx,19,1.970855827266864,10.354266571312971,0.8114923001937857
01 IT-ET Glut,Bves,19,1.970855827266864,10.354266571312971,0.9848602547724151
01 IT-ET Glut,C030029H02Rik,19,1.970855827266864,10.354266571312971,0.11398919921773155
01 IT-ET Glut,C130074G19Rik,19,1.970855827266864,10.354266571312971,0.9965846606082154
01 IT-ET Glut,C1ql1,19,1.970855827266864,10.354266571312971,0.9755270537712953
01 IT-ET Glut,C1ql2,19,1.970855827266864,10.354266571312971,0.9793470439865983
01 IT-ET Glut,C1ql3,19,1.970855827266864,10.354266571312971,0.9953811883557894
01 IT-ET Glut,C1qtnf7,19,1.970855827266864,10.354266571312971,0.8511298249928426
01 IT-ET Glut,C230014O12Rik,19,1.970855827266864,10.354266571312971,0.9471179556580687
01 IT-ET Glut,C7,19,1.970855827266864,10.354266571312971,0.9444698866071379
01 IT-ET Glut,C730002L08Rik,19,1.970855827266864,10.354266571312971,0.9807927541839465
01 IT-ET Glut,Cacng5,19,1.970855827266864,10.354266571312971,0.9895289820249776
01 IT-ET Glut,Calb1,19,1.970855827266864,10.354266571312971,0.9882953285260107
01 IT-ET Glut,Calb2,19,1.970855827266864,10.354266571312971,0.9087589426675495
01 IT-ET Glut,Calcr,19,1.970855827266864,10.354266571312971,0.9590873202975967
01 IT-ET Glut,Calcrl,19,1.970855827266864,10.354266571312971,0.733641173313537
01 IT-ET Glut,Caln1,19,1.970855827266864,10.354266571312971,0.988152932694434
01 IT-ET Glut,Car12,19,1.970855827266864,10.354266571312971,0.9822732680674151
01 IT-ET Glut,Car3,19,1.970855827266864,10.354266571312971,0.4017439606075309
01 IT-ET Glut,Car4,19,1.970855827266864,10.354266571312971,0.92540707226514
01 IT-ET Glut,Car8,19,1.970855827266864,10.354266571312971,0.8908093741063297
01 IT-ET Glut,Cartpt,19,1.970855827266864,10.354266571312971,0.9782542487719994
01 IT-ET Glut,Casq2,19,1.970855827266864,10.354266571312971,0.9015442669104131
01 IT-ET Glut,Casr,19,1.970855827266864,10.354266571312971,-0.002366124471514447
01 IT-ET Glut,Casz1,19,1.970855827266864,10.354266571312971,0.913356725093438
01 IT-ET Glut,Catsperd,19,1.970855827266864,10.354266571312971,0.3268073147184721
01 IT-ET Glut,Cbln1,19,1.970855827266864,10.354266571312971,0.993228702786527
01 IT-ET Glut,Cbln2,19,1.970855827266864,10.354266571312971,0.9942208031924716
01 IT-ET Glut,Cbln4,19,1.970855827266864,10.354266571312971,0.9934339820676908
01 IT-ET Glut,Ccbe1,19,1.970855827266864,10.354266571312971,0.9918846747234137
01 IT-ET Glut,Ccdc141,19,1.970855827266864,10.354266571312971,0.9754023562604197
01 IT-ET Glut,Ccdc187,19,1.970855827266864,10.354266571312971,0.5470195626518275
01 IT-ET Glut,Ccdc192,19,1.970855827266864,10.354266571312971,0.8437166952891454
01 IT-ET Glut,Ccdc3,19,1.970855827266864,10.354266571312971,0.9977012176663099
01 IT-ET Glut,Ccdc42,19,1.970855827266864,10.354266571312971,0.9843752717399058
01 IT-ET Glut,Ccdc80,19,1.970855827266864,10.354266571312971,0.9861185278358695
01 IT-ET Glut,Cckar,19,1.970855827266864,10.354266571312971,0.866833097789589
01 IT-ET Glut,Cckbr,19,1.970855827266864,10.354266571312971,0.958267171201933
01 IT-ET Glut,Ccn2,19,1.970855827266864,10.354266571312971,0.9169519454660514
01 IT-ET Glut,Ccn3,19,1.970855827266864,10.354266571312971,0.9988205004909747
01 IT-ET Glut,Ccn4,19,1.970855827266864,10.354266571312971,0.9683155816945286
01 IT-ET Glut,Ccnb1,19,1.970855827266864,10.354266571312971,0.5513727326220313
01 IT-ET Glut,Ccnd2,19,1.970855827266864,10.354266571312971,0.978079826803529
01 IT-ET Glut,Cd247,19,1.970855827266864,10.354266571312971,0.08066075445723982
01 IT-ET Glut,Cd24a,19,1.970855827266864,10.354266571312971,0.9616627397735503
01 IT-ET Glut,Cd34,19,1.970855827266864,10.354266571312971,0.8009997146065118
01 IT-ET Glut,Cd36,19,1.970855827266864,10.354266571312971,0.9095624070191387
01 IT-ET Glut,Cd44,19,1.970855827266864,10.354266571312971,0.9484261586766337
01 IT-ET Glut,Cd79a,19,1.970855827266864,10.354266571312971,0.8534152178293936
01 IT-ET Glut,Cdc14a,19,1.970855827266864,10.354266571312971,0.9996860014501825
01 IT-ET Glut,Cdh20,19,1.970855827266864,10.354266571312971,0.9104692853534067
01 IT-ET Glut,Cdh23,19,1.970855827266864,10.354266571312971,0.9709071439142604
01 IT-ET Glut,Cdh3,19,1.970855827266864,10.354266571312971,-0.3685181471568501
01 IT-ET Glut,Cdh6,19,1.970855827266864,10.354266571312971,0.8243681683249656
01 IT-ET Glut,Cdh9,19,1.970855827266864,10.354266571312971,0.9684435945902756
01 IT-ET Glut,Cdhr1,19,1.970855827266864,10.354266571312971,0.9603716082929552
01 IT-ET Glut,Cdk15,19,1.970855827266864,10.354266571312971,0.9388072023036169
01 IT-ET Glut,Cdkn1a,19,1.970855827266864,10.354266571312971,0.9697789174068088
01 IT-ET Glut,Cdkn1c,19,1.970855827266864,10.354266571312971,0.9522120812450411
01 IT-ET Glut,Cfap206,19,1.970855827266864,10.354266571312971,0.8810901560359649
01 IT-ET Glut,Cftr,19,1.970855827266864,10.354266571312971,0.7584687743729387
01 IT-ET Glut,Cgnl1,19,1.970855827266864,10.354266571312971,0.5313136358078125
01 IT-ET Glut,Chat,19,1.970855827266864,10.354266571312971,-0.3159457449677824
01 IT-ET Glut,Chn2,19,1.970855827266864,10.354266571312971,0.9728294848943373
01 IT-ET Glut,Chodl,19,1.970855827266864,10.354266571312971,0.7581199593649293
01 IT-ET Glut,Chrdl1,19,1.970855827266864,10.354266571312971,0.937221247651265
01 IT-ET Glut,Chrm1,19,1.970855827266864,10.354266571312971,0.7966012115450545
01 IT-ET Glut,Chrm2,19,1.970855827266864,10.354266571312971,0.9582792819511989
01 IT-ET Glut,Chrm3,19,1.970855827266864,10.354266571312971,0.9542087146864158
01 IT-ET Glut,Chrna2,19,1.970855827266864,10.354266571312971,0.9668763242224473
01 IT-ET Glut,Chrna3,19,1.970855827266864,10.354266571312971,0.8744158096942451
01 IT-ET Glut,Chrna4,19,1.970855827266864,10.354266571312971,0.9809940909513036
01 IT-ET Glut,Chrna5,19,1.970855827266864,10.354266571312971,0.9521188165930934
01 IT-ET Glut,Chrna6,19,1.970855827266864,10.354266571312971,0.5383740144348352
01 IT-ET Glut,Chrna7,19,1.970855827266864,10.354266571312971,0.8771903648720346
01 IT-ET Glut,Chrnb3,19,1.970855827266864,10.354266571312971,0.9710626263024759
01 IT-ET Glut,Chst9,19,1.970855827266864,10.354266571312971,0.5826110052012721
01 IT-ET Glut,Cidea,19,1.970855827266864,10.354266571312971,0.6647601539548527
01 IT-ET Glut,Cited1,19,1.970855827266864,10.354266571312971,0.8848085993586272
01 IT-ET Glut,Ckap2l,19,1.970855827266864,10.354266571312971,-0.2535238881477995
01 IT-ET Glut,Cldn11,19,1.970855827266864,10.354266571312971,0.7986107330380612
01 IT-ET Glut,Cldn5,19,1.970855827266864,10.354266571312971,0.5880018140974652
01 IT-ET Glut,Clic5,19,1.970855827266864,10.354266571312971,0.6031241606991128
01 IT-ET Glut,Clic6,19,1.970855827266864,10.354266571312971,-0.4112438215528428
01 IT-ET Glut,Clrn1,19,1.970855827266864,10.354266571312971,0.9029155066307926
01 IT-ET Glut,Clspn,19,1.970855827266864,10.354266571312971,0.9371216827571094
01 IT-ET Glut,Cnga3,19,1.970855827266864,10.354266571312971,-0.14604045865955192
01 IT-ET Glut,Cngb3,19,1.970855827266864,10.354266571312971,0.9355368261858011
01 IT-ET Glut,Cnih3,19,1.970855827266864,10.354266571312971,0.993074697597884
01 IT-ET Glut,Cnmd,19,1.970855827266864,10.354266571312971,0.9531581236236893
01 IT-ET Glut,Cnpy1,19,1.970855827266864,10.354266571312971,0.9160819705456292
01 IT-ET Glut,Cnr1,19,1.970855827266864,10.354266571312971,0.9865944492735436
01 IT-ET Glut,Cntnap3,19,1.970855827266864,10.354266571312971,0.9103245590691008
01 IT-ET Glut,Cobll1,19,1.970855827266864,10.354266571312971,0.5965320487997772
01 IT-ET Glut,Coch,19,1.970855827266864,10.354266571312971,0.9929995853697843
01 IT-ET Glut,Col11a1,19,1.970855827266864,10.354266571312971,0.9860678072097561
01 IT-ET Glut,Col12a1,19,1.970855827266864,10.354266571312971,0.947464989695779
01 IT-ET Glut,Col14a1,19,1.970855827266864,10.354266571312971,0.7561344913233596
01 IT-ET Glut,Col15a1,19,1.970855827266864,10.354266571312971,0.9759726776103584
01 IT-ET Glut,Col18a1,19,1.970855827266864,10.354266571312971,0.8561746657311962
01 IT-ET Glut,Col19a1,19,1.970855827266864,10.354266571312971,0.9917913584182058
01 IT-ET Glut,Col23a1,19,1.970855827266864,10.354266571312971,0.9898678583669603
01 IT-ET Glut,Col24a1,19,1.970855827266864,10.354266571312971,0.9800642431783946
01 IT-ET Glut,Col26a1,19,1.970855827266864,10.354266571312971,0.9884068488322981
01 IT-ET Glut,Col27a1,19,1.970855827266864,10.354266571312971,0.971650382803334
01 IT-ET Glut,Col5a1,19,1.970855827266864,10.354266571312971,0.9525571373312752
01 IT-ET Glut,Col5a2,19,1.970855827266864,10.354266571312971,0.9598289264544932
01 IT-ET Glut,Col6a1,19,1.970855827266864,10.354266571312971,0.9856534396941722
01 IT-ET Glut,Col6a3,19,1.970855827266864,10.354266571312971,0.9749225737152457
01 IT-ET Glut,Col6a5,19,1.970855827266864,10.354266571312971,0.954466893040047
01 IT-ET Glut,Col8a1,19,1.970855827266864,10.354266571312971,0.8207229130738437
01 IT-ET Glut,Colec12,19,1.970855827266864,10.354266571312971,0.9863186850427242
01 IT-ET Glut,Colgalt2,19,1.970855827266864,10.354266571312971,0.7387049419339992
01 IT-ET Glut,Comtd1,19,1.970855827266864,10.354266571312971,0.8618085183840252
01 IT-ET Glut,Corin,19,1.970855827266864,10.354266571312971,0.42270913131844395
01 IT-ET Glut,Coro1a,19,1.970855827266864,10.354266571312971,0.9986993943205602
01 IT-ET Glut,Coro6,19,1.970855827266864,10.354266571312971,0.9756906474729222
01 IT-ET Glut,Cp,19,1.970855827266864,10.354266571312971,0.9818052652662007
01 IT-ET Glut,Cpa6,19,1.970855827266864,10.354266571312971,0.876103742643157
01 IT-ET Glut,Cplx3,19,1.970855827266864,10.354266571312971,-0.41420360510349263
01 IT-ET Glut,Cpne2,19,1.970855827266864,10.354266571312971,0.9523245268722595
01 IT-ET Glut,Cpne8,19,1.970855827266864,10.354266571312971,0.9909387041969399
01 IT-ET Glut,Cpne9,19,1.970855827266864,10.354266571312971,0.9793582614189404
01 IT-ET Glut,Crb1,19,1.970855827266864,10.354266571312971,0.923451670587223
01 IT-ET Glut,Creb3l1,19,1.970855827266864,10.354266571312971,-0.16818903748950403
01 IT-ET Glut,Creb5,19,1.970855827266864,10.354266571312971,0.19384369192042278
01 IT-ET Glut,Crh,19,1.970855827266864,10.354266571312971,0.9748497031624173
01 IT-ET Glut,Crhbp,19,1.970855827266864,10.354266571312971,0.8468649273906842
01 IT-ET Glut,Crhr1,19,1.970855827266864,10.354266571312971,0.9556461744729026
01 IT-ET Glut,Crhr2,19,1.970855827266864,10.354266571312971,0.9816162084087343
01 IT-ET Glut,Crispld1,19,1.970855827266864,10.354266571312971,0.9474443633041069
01 IT-ET Glut,Crybg1,19,1.970855827266864,10.354266571312971,0.8609345363128761
