class,gene,n_slices,z_min,z_max,z_coherence
01 IT-ET Glut,1700057H15Rik,22,0.2,13.057739820419144,0.7236582382461687
01 IT-ET Glut,2610028E06Rik,22,0.2,13.057739820419144,0.3634598835671569
01 IT-ET Glut,2900052N01Rik,22,0.2,13.057739820419144,0.5503291886061265
01 IT-ET Glut,4921534H16Rik,22,0.2,13.057739820419144,0.624115444572883
01 IT-ET Glut,4921539H07Rik,22,0.2,13.057739820419144,0.8116538667673726
01 IT-ET Glut,4930426D05Rik,22,0.2,13.057739820419144,0.4975251416604852
01 IT-ET Glut,4930438E09Rik,22,0.2,13.057739820419144,0.6957116186479231
01 IT-ET Glut,4930452B06Rik,22,0.2,13.057739820419144,-0.01825810557597631
01 IT-ET Glut,4930467D21Rik,22,0.2,13.057739820419144,0.6982137918067691
01 IT-ET Glut,4930509J09Rik,22,0.2,13.057739820419144,0.6510220816953797
01 IT-ET Glut,5830418P13Rik,22,0.2,13.057739820419144,0.7069612718370987
01 IT-ET Glut,6430628N08Rik,22,0.2,13.057739820419144,0.7198858705117687
01 IT-ET Glut,6530403H02Rik,22,0.2,13.057739820419144,0.6569106134764412
01 IT-ET Glut,9330158H04Rik,22,0.2,13.057739820419144,-0.02509574290026179
01 IT-ET Glut,9630002D21Rik,22,0.2,13.057739820419144,0.7076395521502822
01 IT-ET Glut,A2m,22,0.2,13.057739820419144,-0.3480689799078937
01 IT-ET Glut,A330076C08Rik,22,0.2,13.057739820419144,0.6464238910747651
01 IT-ET Glut,A630012P03Rik,22,0.2,13.057739820419144,0.5330641351226035
01 IT-ET Glut,A730046J19Rik,22,0.2,13.057739820419144,0.26361939682961577
01 IT-ET Glut,A830009L08Rik,22,0.2,13.057739820419144,0.8515947749864043
01 IT-ET Glut,A830019P07Rik,22,0.2,13.057739820419144,-0.34001494627822265
01 IT-ET Glut,A830036E02Rik,22,0.2,13.057739820419144,0.42148453134756986
01 IT-ET Glut,AW551984,22,0.2,13.057739820419144,0.20067195895562442
01 IT-ET Glut,Abca8a,22,0.2,13.057739820419144,-0.2589202165399387
01 IT-ET Glut,Abcc9,22,0.2,13.057739820419144,0.38379602534501944
01 IT-ET Glut,Abhd12b,22,0.2,13.057739820419144,0.4978992588192304
01 IT-ET Glut,Abi3bp,22,0.2,13.057739820419144,0.9652456566650063
01 IT-ET Glut,Acsbg1,22,0.2,13.057739820419144,0.6442832859284223
01 IT-ET Glut,Acta2,22,0.2,13.057739820419144,0.5837204533899312
01 IT-ET Glut,Actn2,22,0.2,13.057739820419144,0.5769843177769531
01 IT-ET Glut,Acvr1c,22,0.2,13.057739820419144,0.32512881215719486
01 IT-ET Glut,Adad1,22,0.2,13.057739820419144,0.5558027687030721
01 IT-ET Glut,Adam12,22,0.2,13.057739820419144,0.7769438359276737
01 IT-ET Glut,Adam18,22,0.2,13.057739820419144,0.7979104764441738
01 IT-ET Glut,Adam33,22,0.2,13.057739820419144,0.6619058789846529
01 IT-ET Glut,Adamts12,22,0.2,13.057739820419144,0.6995621618817266
01 IT-ET Glut,Adamts16,22,0.2,13.057739820419144,0.8034642085231548
01 IT-ET Glut,Adamts18,22,0.2,13.057739820419144,0.7944635604500259
01 IT-ET Glut,Adamts19,22,0.2,13.057739820419144,0.25048074493058536
01 IT-ET Glut,Adamts2,22,0.2,13.057739820419144,0.7948268581709279
01 IT-ET Glut,Adamts9,22,0.2,13.057739820419144,0.7179080926346961
01 IT-ET Glut,Adamtsl1,22,0.2,13.057739820419144,0.7030549818083404
01 IT-ET Glut,Adamtsl3,22,0.2,13.057739820419144,-0.07609963070814157
01 IT-ET Glut,Adcy2,22,0.2,13.057739820419144,0.6852904549185242
01 IT-ET Glut,Adcy7,22,0.2,13.057739820419144,0.8265007724830243
01 IT-ET Glut,Adcy8,22,0.2,13.057739820419144,0.8551105203597348
01 IT-ET Glut,Adcyap1,22,0.2,13.057739820419144,-0.13829761119167705
01 IT-ET Glut,Adgrd1,22,0.2,13.057739820419144,0.5385276424918628
01 IT-ET Glut,Adgrf5,22,0.2,13.057739820419144,0.3652406075709425
01 IT-ET Glut,Adgrg2,22,0.2,13.057739820419144,0.36041461760242577
01 IT-ET Glut,Adgrg6,22,0.2,13.057739820419144,0.5361001018358186
01 IT-ET Glut,Adgrl2,22,0.2,13.057739820419144,0.4951486540689292
01 IT-ET Glut,Adgrv1,22,0.2,13.057739820419144,0.6829870456465736
01 IT-ET Glut,Adh5,22,0.2,13.057739820419144,0.7732446710578954
01 IT-ET Glut,Adora1,22,0.2,13.057739820419144,0.16331465186932567
01 IT-ET Glut,Adora2a,22,0.2,13.057739820419144,-0.3949997372551769
01 IT-ET Glut,Adra1a,22,0.2,13.057739820419144,0.5414922492367862
01 IT-ET Glut,Adra1b,22,0.2,13.057739820419144,0.6892634047772829
01 IT-ET Glut,Adra2a,22,0.2,13.057739820419144,0.9081446468920322
01 IT-ET Glut,Aff2,22,0.2,13.057739820419144,0.29319830647578154
01 IT-ET Glut,Agt,22,0.2,13.057739820419144,0.5511072414609635
01 IT-ET Glut,Agtr1a,22,0.2,13.057739820419144,0.5431832157499645
01 IT-ET Glut,Agtr2,22,0.2,13.057739820419144,0.31896272674344606
01 IT-ET Glut,Akain1,22,0.2,13.057739820419144,-0.17079735449145994
01 IT-ET Glut,Akr7a5,22,0.2,13.057739820419144,0.4477604592460524
01 IT-ET Glut,Aldh1a3,22,0.2,13.057739820419144,0.6910471375582139
01 IT-ET Glut,Aldh1l1,22,0.2,13.057739820419144,-0.13183006567306138
01 IT-ET Glut,Aldh3b2,22,0.2,13.057739820419144,0.849540924912802
01 IT-ET Glut,Alk,22,0.2,13.057739820419144,0.9959593016565014
01 IT-ET Glut,Alox8,22,0.2,13.057739820419144,0.7799039502860022
01 IT-ET Glut,Alpk2,22,0.2,13.057739820419144,0.5828049603976228
01 IT-ET Glut,Amigo2,22,0.2,13.057739820419144,0.6039892071902142
01 IT-ET Glut,Angpt1,22,0.2,13.057739820419144,0.9085449301878031
01 IT-ET Glut,Ankfn1,22,0.2,13.057739820419144,0.651722252192447
01 IT-ET Glut,Ankrd63,22,0.2,13.057739820419144,0.828065011837441
01 IT-ET Glut,Ano1,22,0.2,13.057739820419144,-0.10945557131034164
01 IT-ET Glut,Ano2,22,0.2,13.057739820419144,0.6033531684273452
01 IT-ET Glut,Antxr2,22,0.2,13.057739820419144,0.14679211561760294
01 IT-ET Glut,Anxa2,22,0.2,13.057739820419144,0.6349144316728045
01 IT-ET Glut,Apela,22,0.2,13.057739820419144,0.28944346072058214
01 IT-ET Glut,Apex1,22,0.2,13.057739820419144,0.5439207750853139
01 IT-ET Glut,Apold1,22,0.2,13.057739820419144,0.7034490031014817
01 IT-ET Glut,Aqp1,22,0.2,13.057739820419144,0.7888556514290267
01 IT-ET Glut,Aqp4,22,0.2,13.057739820419144,0.7223547133997165
01 IT-ET Glut,Aqp6,22,0.2,13.057739820419144,0.7415988053630029
01 IT-ET Glut,Ar,22,0.2,13.057739820419144,0.3942796265305166
01 IT-ET Glut,Arhgap15,22,0.2,13.057739820419144,0.6879253129410636
01 IT-ET Glut,Arhgap22,22,0.2,13.057739820419144,0.7332259609832942
01 IT-ET Glut,Arhgap25,22,0.2,13.057739820419144,0.6931027859627128
01 IT-ET Glut,Arhgap28,22,0.2,13.057739820419144,0.8904987656854313
01 IT-ET Glut,Arhgap36,22,0.2,13.057739820419144,0.7425881061061894
01 IT-ET Glut,Arhgef26,22,0.2,13.057739820419144,0.5332494772164437
01 IT-ET Glut,Arhgef38,22,0.2,13.057739820419144,0.5586586791662981
01 IT-ET Glut,Arntl,22,0.2,13.057739820419144,0.5335417332387608
01 IT-ET Glut,Arsj,22,0.2,13.057739820419144,0.9386392694264049
01 IT-ET Glut,Arx,22,0.2,13.057739820419144,0.2605312976751328
01 IT-ET Glut,Asb2,22,0.2,13.057739820419144,0.9876011974981029
01 IT-ET Glut,Asb4,22,0.2,13.057739820419144,-0.01320879163521296
01 IT-ET Glut,Ascl1,22,0.2,13.057739820419144,0.8627011518510131
01 IT-ET Glut,Asic4,22,0.2,13.057739820419144,0.7351016069976047
01 IT-ET Glut,Atp10a,22,0.2,13.057739820419144,0.039350034535910496
01 IT-ET Glut,Atp6ap1l,22,0.2,13.057739820419144,-0.2760439133849054
01 IT-ET Glut,Atp6v1c2,22,0.2,13.057739820419144,0.6930937906381044
01 IT-ET Glut,Avpr1a,22,0.2,13.057739820419144,0.24316187543472476
01 IT-ET Glut,B020031H02Rik,22,0.2,13.057739820419144,-0.4078709049758624
01 IT-ET Glut,B230323A14Rik,22,0.2,13.057739820419144,-0.5183464653690336
01 IT-ET Glut,B930025P03Rik,22,0.2,13.057739820419144,0.4453277864532441
01 IT-ET Glut,B9d2,22,0.2,13.057739820419144,-0.4201203811626979
01 IT-ET Glut,Bace2,22,0.2,13.057739820419144,0.6690173012611406
01 IT-ET Glut,Baiap3,22,0.2,13.057739820419144,0.9065485262420333
01 IT-ET Glut,Barhl1,22,0.2,13.057739820419144,0.5114891761870901
01 IT-ET Glut,Barhl2,22,0.2,13.057739820419144,-0.1338490573221777
01 IT-ET Glut,Barx2,22,0.2,13.057739820419144,0.7785654151982953
01 IT-ET Glut,Baz1a,22,0.2,13.057739820419144,0.6832524165210243
01 IT-ET Glut,Bcl11a,22,0.2,13.057739820419144,-0.18701795167806523
01 IT-ET Glut,Bcl11b,22,0.2,13.057739820419144,0.6591445363198608
01 IT-ET Glut,Bcl6,22,0.2,13.057739820419144,0.7952523779654133
01 IT-ET Glut,Bdnf,22,0.2,13.057739820419144,0.5505483752571094
01 IT-ET Glut,Bhlhe22,22,0.2,13.057739820419144,0.7315324409597096
01 IT-ET Glut,Bhlhe23,22,0.2,13.057739820419144,0.5363210808051206
01 IT-ET Glut,Blnk,22,0.2,13.057739820419144,0.8527947998583618
01 IT-ET Glut,Bmp2,22,0.2,13.057739820419144,0.6798311983100154
01 IT-ET Glut,Bmp3,22,0.2,13.057739820419144,0.7866643350752622
01 IT-ET Glut,Bmp4,22,0.2,13.057739820419144,0.7035544465592547
01 IT-ET Glut,Bmp6,22,0.2,13.057739820419144,-0.048122805639871535
01 IT-ET Glut,Bmpr1b,22,0.2,13.057739820419144,0.5208350646515596
01 IT-ET Glut,Bnc2,22,0.2,13.057739820419144,0.6256522567820425
01 IT-ET Glut,Boc,22,0.2,13.057739820419144,0.6547084240806776
01 IT-ET Glut,Brs3,22,0.2,13.057739820419144,0.17064941374867304
01 IT-ET Glut,Bsx,22,0.2,13.057739820419144,0.6614020164833783
01 IT-ET Glut,Bves,22,0.2,13.057739820419144,0.32861189003492264
01 IT-ET Glut,C030029H02Rik,22,0.2,13.057739820419144,0.6823074100384109
01 IT-ET Glut,C130074G19Rik,22,0.2,13.057739820419144,0.8305785180291075
01 IT-ET Glut,C1ql1,22,0.2,13.057739820419144,0.6710600440467391
01 IT-ET Glut,C1ql2,22,0.2,13.057739820419144,0.9078712051908234
01 IT-ET Glut,C1ql3,22,0.2,13.057739820419144,0.7424534175090793
01 IT-ET Glut,C1qtnf7,22,0.2,13.057739820419144,-0.2997005528881399
01 IT-ET Glut,C230014O12Rik,22,0.2,13.057739820419144,-0.367441876666318
01 IT-ET Glut,C7,22,0.2,13.057739820419144,0.7030431675685886
01 IT-ET Glut,C730002L08Rik,22,0.2,13.057739820419144,0.06528096516189569
01 IT-ET Glut,Cacng5,22,0.2,13.057739820419144,-0.0011393074078772248
01 IT-ET Glut,Calb1,22,0.2,13.057739820419144,0.48041725494273396
01 IT-ET Glut,Calb2,22,0.2,13.057739820419144,0.9599935368922643
01 IT-ET Glut,Calcr,22,0.2,13.057739820419144,0.1296923872757425
01 IT-ET Glut,Calcrl,22,0.2,13.057739820419144,0.7721805921241455
01 IT-ET Glut,Caln1,22,0.2,13.057739820419144,0.2776845190746867
01 IT-ET Glut,Car12,22,0.2,13.057739820419144,0.6122866969523805
01 IT-ET Glut,Car3,22,0.2,13.057739820419144,0.6728224851456734
01 IT-ET Glut,Car4,22,0.2,13.057739820419144,0.036845790773869444
01 IT-ET Glut,Car8,22,0.2,13.057739820419144,0.8509255965407555
01 IT-ET Glut,Cartpt,22,0.2,13.057739820419144,0.33111753911581443
01 IT-ET Glut,Casq2,22,0.2,13.057739820419144,0.8061720643235877
01 IT-ET Glut,Casr,22,0.2,13.057739820419144,0.49582549304884904
01 IT-ET Glut,Casz1,22,0.2,13.057739820419144,-0.3593974008183468
01 IT-ET Glut,Catsperd,22,0.2,13.057739820419144,0.6478438457901857
01 IT-ET Glut,Cbln1,22,0.2,13.057739820419144,0.31337445303599754
01 IT-ET Glut,Cbln2,22,0.2,13.057739820419144,0.16580469512365792
01 IT-ET Glut,Cbln4,22,0.2,13.057739820419144,0.6556179497792995
01 IT-ET Glut,Ccbe1,22,0.2,13.057739820419144,0.34662197212553186
01 IT-ET Glut,Ccdc141,22,0.2,13.057739820419144,-0.2512706526646188
01 IT-ET Glut,Ccdc187,22,0.2,13.057739820419144,0.6527524806824904
01 IT-ET Glut,Ccdc192,22,0.2,13.057739820419144,0.4137757834493336
01 IT-ET Glut,Ccdc3,22,0.2,13.057739820419144,0.6433344714376589
01 IT-ET Glut,Ccdc42,22,0.2,13.057739820419144,0.6109196278216225
01 IT-ET Glut,Ccdc80,22,0.2,13.057739820419144,0.8154315788692287
01 IT-ET Glut,Cckar,22,0.2,13.057739820419144,0.26888542093956047
01 IT-ET Glut,Cckbr,22,0.2,13.057739820419144,0.18923704725291746
01 IT-ET Glut,Ccn2,22,0.2,13.057739820419144,-0.3268477329056274
