class,gene,n_slices,z_min,z_max,z_coherence
01 IT-ET Glut,1700057H15Rik,22,0.2,13.057739820419144,0.7236582382461697
01 IT-ET Glut,2610028E06Rik,22,0.2,13.057739820419144,0.36345988356715697
01 IT-ET Glut,2900052N01Rik,22,0.2,13.057739820419144,0.5503291886061266
01 IT-ET Glut,4921534H16Rik,22,0.2,13.057739820419144,0.6241154445728845
01 IT-ET Glut,4921539H07Rik,22,0.2,13.057739820419144,0.8116538667673725
01 IT-ET Glut,4930426D05Rik,22,0.2,13.057739820419144,0.4975251416604853
01 IT-ET Glut,4930438E09Rik,22,0.2,13.057739820419144,0.6957116186479241
01 IT-ET Glut,4930452B06Rik,22,0.2,13.057739820419144,-0.01825810557597625
01 IT-ET Glut,4930467D21Rik,22,0.2,13.057739820419144,0.6982137918067699
01 IT-ET Glut,4930509J09Rik,22,0.2,13.057739820419144,0.6510220816953799
01 IT-ET Glut,5830418P13Rik,22,0.2,13.057739820419144,0.7069612718370989
01 IT-ET Glut,6430628N08Rik,22,0.2,13.057739820419144,0.7198858705117699
01 IT-ET Glut,6530403H02Rik,22,0.2,13.057739820419144,0.656910613476442
01 IT-ET Glut,9330158H04Rik,22,0.2,13.057739820419144,-0.025095742900261005
01 IT-ET Glut,9630002D21Rik,22,0.2,13.057739820419144,0.7076395521502827
01 IT-ET Glut,A2m,22,0.2,13.057739820419144,-0.34806897990789387
01 IT-ET Glut,A330076C08Rik,22,0.2,13.057739820419144,0.6464238910747653
01 IT-ET Glut,A630012P03Rik,22,0.2,13.057739820419144,0.5330641351226041
01 IT-ET Glut,A730046J19Rik,22,0.2,13.057739820419144,0.2636193968296166
01 IT-ET Glut,A830009L08Rik,22,0.2,13.057739820419144,0.8515947749864045
01 IT-ET Glut,A830019P07Rik,22,0.2,13.057739820419144,0.762989085615223
01 IT-ET Glut,A830036E02Rik,22,0.2,13.057739820419144,0.5108329272197814
01 IT-ET Glut,AW551984,22,0.2,13.057739820419144,0.2006719589556252
01 IT-ET Glut,Abca8a,22,0.2,13.057739820419144,-0.2589202165399388
01 IT-ET Glut,Abcc9,22,0.2,13.057739820419144,0.3837960253450198
01 IT-ET Glut,Abhd12b,22,0.2,13.057739820419144,0.49789925881923086
01 IT-ET Glut,Abi3bp,22,0.2,13.057739820419144,0.9761144094518643
01 IT-ET Glut,Acsbg1,22,0.2,13.057739820419144,0.28871664562306965
01 IT-ET Glut,Acta2,22,0.2,13.057739820419144,0.5837204533899318
01 IT-ET Glut,Actn2,22,0.2,13.057739820419144,0.5769843177769531
01 IT-ET Glut,Acvr1c,22,0.2,13.057739820419144,0.40117948047234453
01 IT-ET Glut,Adad1,22,0.2,13.057739820419144,0.5558027687030745
01 IT-ET Glut,Adam12,22,0.2,13.057739820419144,0.776943835927674
01 IT-ET Glut,Adam18,22,0.2,13.057739820419144,0.7979104764441748
01 IT-ET Glut,Adam33,22,0.2,13.057739820419144,0.6619058789846528
01 IT-ET Glut,Adamts12,22,0.2,13.057739820419144,0.6995621618817272
01 IT-ET Glut,Adamts16,22,0.2,13.057739820419144,0.1485213205671157
01 IT-ET Glut,Adamts18,22,0.2,13.057739820419144,0.7944635604500259
01 IT-ET Glut,Adamts19,22,0.2,13.057739820419144,0.25048074493058525
01 IT-ET Glut,Adamts2,22,0.2,13.057739820419144,-0.045176584700785186
01 IT-ET Glut,Adamts9,22,0.2,13.057739820419144,0.7179080926346966
01 IT-ET Glut,Adamtsl1,22,0.2,13.057739820419144,0.7030549818083405
01 IT-ET Glut,Adamtsl3,22,0.2,13.057739820419144,-0.07609963070814163
01 IT-ET Glut,Adcy2,22,0.2,13.057739820419144,0.6861592051323525
01 IT-ET Glut,Adcy7,22,0.2,13.057739820419144,0.8265007724830243
01 IT-ET Glut,Adcy8,22,0.2,13.057739820419144,0.8204551379869149
01 IT-ET Glut,Adcyap1,22,0.2,13.057739820419144,-0.16353499343937652
01 IT-ET Glut,Adgrd1,22,0.2,13.057739820419144,0.5385276424918635
01 IT-ET Glut,Adgrf5,22,0.2,13.057739820419144,0.3652406075709434
01 IT-ET Glut,Adgrg2,22,0.2,13.057739820419144,0.3604146176024264
01 IT-ET Glut,Adgrg6,22,0.2,13.057739820419144,0.5361001018358191
01 IT-ET Glut,Adgrl2,22,0.2,13.057739820419144,0.49304726464229026
01 IT-ET Glut,Adgrv1,22,0.2,13.057739820419144,0.6829870456465739
01 IT-ET Glut,Adh5,22,0.2,13.057739820419144,0.7732446710578954
01 IT-ET Glut,Adora1,22,0.2,13.057739820419144,0.07571782731965504
01 IT-ET Glut,Adora2a,22,0.2,13.057739820419144,-0.39499973725517723
01 IT-ET Glut,Adra1a,22,0.2,13.057739820419144,-0.07572120707560162
01 IT-ET Glut,Adra1b,22,0.2,13.057739820419144,0.6892634047772829
01 IT-ET Glut,Adra2a,22,0.2,13.057739820419144,0.9081446468920322
01 IT-ET Glut,Aff2,22,0.2,13.057739820419144,0.3764962742172447
01 IT-ET Glut,Agt,22,0.2,13.057739820419144,0.5511072414609638
01 IT-ET Glut,Agtr1a,22,0.2,13.057739820419144,0.5431832157499648
