density_gap,density_name,target_slice,target_z,class,n_spots,gene,generated_mean,target_mean,generated_zero_prop,target_zero_prop
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,1700057H15Rik,0.01693569727441122,0.01746493781423657,0.9891505689335803,0.9827996824556761
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,2610028E06Rik,0.022757343212490077,0.018523418893887273,0.9857105054247155,0.9827996824556761
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,2900052N01Rik,0.07012437152685896,0.12357766604921937,0.9568668960042339,0.8917703096057158
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,4921534H16Rik,0.031225191849695688,0.0418100026462027,0.9809473405662874,0.9595130987033607
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,4921539H07Rik,0.1317808944165123,0.13310399576607568,0.9245832230748875,0.889917967716327
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,4930426D05Rik,0.048160889124106904,0.031489812119608364,0.9703625297697803,0.969833289229955
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,4930438E09Rik,0.026726647261180205,0.0214342418629267,0.9830643027255888,0.9790949986768986
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,4930452B06Rik,0.21513627943900504,0.34268324953691454,0.8743053717914793,0.7388197935961894
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,4930467D21Rik,0.031225191849695688,0.046043926964805505,0.980418100026462,0.9566022757343212
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,4930509J09Rik,0.019846520243450648,0.02487430537179148,0.9872982270441916,0.9761841757078592
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,5830418P13Rik,0.04683778777454353,0.07806297962423922,0.9711563905795184,0.9333156919820058
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,6430628N08Rik,0.012701772955808415,0.014024874305371792,0.9915321513627944,0.9859751256946282
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,6530403H02Rik,0.022757343212490077,0.019581899973537972,0.9857105054247155,0.9806827202963747
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,9330158H04Rik,0.019581899973537972,0.030166710770044985,0.9875628473141043,0.9711563905795184
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,9630002D21Rik,0.011643291876157714,0.01746493781423657,0.9928552527123577,0.9835935432654141
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,A2m,0.03678221751786187,0.052394813442709715,0.9772426567875099,0.951045250066155
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,A330076C08Rik,0.07012437152685896,0.03889917967716327,0.9568668960042339,0.9621593014024874
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,A630012P03Rik,0.020111140513363324,0.01693569727441122,0.9872982270441916,0.9835935432654141
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,A730046J19Rik,0.018258798623974597,0.009261709446943637,0.9883567081238422,0.9907382905530564
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,A830009L08Rik,0.08070918232336596,0.12251918496956866,0.9505160095263298,0.8917703096057158
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,A830019P07Rik,0.017729558084149246,0.020111140513363324,0.9888859486636676,0.9806827202963747
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,A830036E02Rik,1.4183646467319397,3.2482138131780895,0.5437946546705478,0.3400370468377878
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,AW551984,0.024609685101878803,0.02381582429214078,0.9846520243450648,0.9769780365175973
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,Abca8a,0.07224133368616036,0.05292405398253506,0.9571315162741466,0.9552791743847578
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,Abcc9,0.05980418100026462,0.20666843080179942,0.9658639851812649,0.918496956866896
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,Abhd12b,0.021698862132839374,0.028049748610743584,0.9865043662344536,0.9722148716591691
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,Abi3bp,0.6001587721619476,0.7020375760783276,0.8309076475258005,0.8179412543000794
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,Acsbg1,0.828790685366499,1.166975390314898,0.6549351680338714,0.5104525006615507
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,Acta2,0.07938608097380259,0.08441386610214342,0.9523683514157184,0.9296110082032284
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,Actn2,0.2807621063773485,0.6806033342154009,0.8467848637205609,0.600688012701773
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,Acvr1c,0.8084149245832231,0.4794919290817677,0.653612066684308,0.7017729558084149
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,Adad1,0.01693569727441122,0.010320190526594337,0.989415189203493,0.9896798094734056
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,Adam12,0.039163799947075945,0.0375760783275999,0.9767134162476846,0.9671870865308283
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,Adam18,0.034665255358560465,0.04789626885419423,0.9785657581370732,0.9566022757343212
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,Adam33,0.07250595395607304,0.19264355649642761,0.9579253770838846,0.8872717650172003
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,Adamts12,0.029637470230219634,0.04260386345594073,0.9817412013760254,0.9587192378936227
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,Adamts16,0.1725324159830643,0.4374173061656523,0.9057951839110876,0.775072770574226
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,Adamts18,0.16009526329716856,0.34876951574490606,0.9076475258004764,0.7890976448795978
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,Adamts19,0.020375760783276,0.021169621593014026,0.9872982270441916,0.9793596189468113
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,Adamts2,0.11828526065096587,0.2902884360942048,0.9349034136014819,0.8319661286054512
10,sparse_gap10,46,3.7842382240187393,01 IT-ET Glut,3779,Adamts9,0.06827202963747023,0.11272823498279969,0.9581899973537973,0.9132045514686425
