gene,generated_moran_i,target_moran_i
1700057H15Rik,0.11215315881423552,-0.0016622546846166775
2610028E06Rik,0.08291967380458769,-0.0009234680734287443
2900052N01Rik,0.10623040340838748,0.022869815161695284
4921534H16Rik,0.06627661617237994,0.002069923582284644
4921539H07Rik,0.08749902937370653,0.010559186230225778
4930426D05Rik,0.04352844131248863,0.0003036144746617278
4930438E09Rik,0.08916260302547109,0.0076406515300383275
4930452B06Rik,0.17358343303145135,0.03141455893284633
4930467D21Rik,0.04783640513547881,0.009071004173258495
4930509J09Rik,0.056545059593156616,0.005925753581712607
5830418P13Rik,0.09128586967922026,0.010127125134019288
6430628N08Rik,0.05485781060528198,0.001956964287359275
6530403H02Rik,0.13063353963233365,0.00819961462434569
9330158H04Rik,0.08814075309276984,0.00531601859111568
9630002D21Rik,0.020109171528362987,0.004388872737762927
A2m,0.4531152447507218,0.3282985622850594
A330076C08Rik,0.07117760728591455,0.03683699199863355
A630012P03Rik,0.15036931106227788,-0.003348917404423965
A730046J19Rik,0.06869201620275599,-0.003656534500772948
A830009L08Rik,0.006848011867528102,-0.00452240924399906
A830019P07Rik,0.12754203862359065,0.008131573626900462
A830036E02Rik,0.24477322898487258,0.05342649086041016
AW551984,0.0661032149944086,0.03299903375046522
Abca8a,0.29792472443898455,0.033653859546256
Abcc9,0.120848704654244,0.0034006748665623707
Abhd12b,0.07397085774340573,-0.0002772119697923576
Abi3bp,0.21562858936949547,0.07259172256410898
Acsbg1,0.3299242451404639,0.18841513571501445
Acta2,0.5448985953008225,0.2596526714725889
Actn2,0.13005618368666333,0.017986867851527328
Acvr1c,0.15828925606584082,0.005054037141789784
Adad1,0.1265597641971672,-6.933218621729898e-06
Adam12,0.25197953306065957,0.029219099731806746
Adam18,0.04422478424005992,0.0018697374794374023
Adam33,0.09845164008887296,0.01528542604894676
Adamts12,0.20081693873630196,0.00180742393130264
Adamts16,0.4191151799289701,0.22882729525677906
Adamts18,0.3980318964591057,0.05936444045141486
Adamts19,0.03834995531813933,-0.003284313581761094
Adamts2,0.31759176949285595,0.07152428388429921
Adamts9,0.11650959579893394,0.033570320787676036
Adamtsl1,0.28420439167803807,0.07533013773551275
Adamtsl3,0.34185780863294984,0.12054715868342898
Adcy2,0.13445183752338355,0.09721827328270705
Adcy7,0.10993241952191418,0.021735525364851207
Adcy8,0.39012154224865936,0.06982475643994836
Adcyap1,0.05924056145138179,0.049639447044166445
Adgrd1,0.1269650897498006,-0.0019848251636060167
Adgrf5,0.09943688143197926,0.04869764305851491
Adgrg2,0.07512993268143174,0.011897032049878008
Adgrg6,0.3114510699301102,0.06489747269199551
Adgrl2,0.20453781045132025,0.03550438946047657
Adgrv1,0.5581035958534227,0.24034643294735394
Adh5,0.27748941191425297,0.029254944303289506
Adora1,0.5065707337516325,0.09293928972405446
Adora2a,0.2448539458497967,0.003033850694677214
Adra1a,0.1466325488818637,0.04629069386340229
Adra1b,0.17960226722535144,0.022696424364942947
Adra2a,0.16628145149913526,0.03651999626599609
Aff2,0.22156685355064493,0.015762680829277304
Agt,0.37615073173278446,0.15843798291891725
Agtr1a,0.13665193532271294,0.0007789561986941575
Agtr2,0.056894285152614875,-0.008369926519900112
Akain1,0.17677760148085797,0.028546198292935195
Akr7a5,0.37560631650100307,0.03164303262375401
Aldh1a3,0.11744741126689105,0.00642227937436593
Aldh1l1,0.3307624508434176,0.15424329189051042
Aldh3b2,0.03478638490021679,0.012110697891865235
Alk,0.0860433530334912,0.03981835246434319
Alox8,0.11016486446993888,0.02348812651670518
Alpk2,0.17541843489978304,0.019015625953298688
Amigo2,0.26199139811030864,0.02419027181412007
Angpt1,0.29751367197298567,0.0060855326127388434
Ankfn1,0.22191237606787592,0.059765956989255686
Ankrd63,0.027252291300194166,0.0008971275879454667
Ano1,0.24550037688665094,0.026605235452323524
Ano2,0.1115726598297877,0.08103491992966758
Antxr2,0.2817471839735062,0.01777915585798889
Anxa2,0.5447156805490694,0.15258476072856983
Apela,0.038090358737334136,0.010326718591620297
Apex1,0.20082507214007853,0.022706684664676364
Apold1,0.11002773633291457,0.0034036316602852087
Aqp1,0.7700037469117779,0.3851748951700355
Aqp4,0.24058861168388718,0.09531030480712668
Aqp6,0.39345429889672945,0.07771141997770542
Ar,0.21714807769314282,0.028610536041576505
Arhgap15,0.02965998586880923,0.0016692557562140084
Arhgap22,0.04293561014449765,0.024562075837265013
Arhgap25,0.07220645448930732,0.011363296731628019
Arhgap28,0.24464113493173587,0.06528353228158107
Arhgap36,0.17851743718437477,0.04912943489852394
Arhgef26,0.29577392929644497,0.1025174276491891
Arhgef38,0.09999404119670409,0.008684568071809366
Arntl,0.22309510686451373,0.03491578823608859
Arsj,0.07907272591213672,0.0038211034552068394
Arx,0.15200943349676344,0.0032742664537797517
Asb2,0.39201714512471497,0.07307815886791684
Asb4,0.09943550739661901,0.02560276338517497
Ascl1,0.05950392261050834,0.005428383092136413
Asic4,0.03752441582645149,0.03364920831257291
Atp10a,0.14207506082954116,0.0747176516800188
Atp6ap1l,0.10600827299826095,0.012511855210596447
Atp6v1c2,0.09896328048253775,0.0013465022915413627
Avpr1a,0.09079356359723147,0.0040828050190812315
B020031H02Rik,0.14643123061252003,-0.003872520181714922
B230323A14Rik,0.15840828214936933,0.02540096714362131
B930025P03Rik,0.08658437602952825,0.0016594025934554477
B9d2,0.29138754739464695,0.028987370141087123
Bace2,0.32133412023162605,0.0058633544855461765
Baiap3,0.16019816284076793,0.10287898076454945
