class,gene,n_slices,z_min,z_max,z_coherence
01 IT-ET Glut,1700057H15Rik,10,1.970855827266864,10.354266571312971,0.6226950958519298
01 IT-ET Glut,2610028E06Rik,10,1.970855827266864,10.354266571312971,-0.6794942736882424
01 IT-ET Glut,2900052N01Rik,10,1.970855827266864,10.354266571312971,0.5983837942021033
01 IT-ET Glut,4921534H16Rik,10,1.970855827266864,10.354266571312971,0.9789348440348266
01 IT-ET Glut,4921539H07Rik,10,1.970855827266864,10.354266571312971,0.9584997596552336
01 IT-ET Glut,4930426D05Rik,10,1.970855827266864,10.354266571312971,0.9936632846246803
01 IT-ET Glut,4930438E09Rik,10,1.970855827266864,10.354266571312971,0.5962656390171206
01 IT-ET Glut,4930452B06Rik,10,1.970855827266864,10.354266571312971,0.9366791755118142
01 IT-ET Glut,4930467D21Rik,10,1.970855827266864,10.354266571312971,-0.655650727901994
01 IT-ET Glut,4930509J09Rik,10,1.970855827266864,10.354266571312971,0.9191701005136902
01 IT-ET Glut,5830418P13Rik,10,1.970855827266864,10.354266571312971,0.8813816854244474
01 IT-ET Glut,6430628N08Rik,10,1.970855827266864,10.354266571312971,0.3218860144495871
01 IT-ET Glut,6530403H02Rik,10,1.970855827266864,10.354266571312971,0.9114979467703413
01 IT-ET Glut,9330158H04Rik,10,1.970855827266864,10.354266571312971,-0.6275430861674405
01 IT-ET Glut,9630002D21Rik,10,1.970855827266864,10.354266571312971,0.8919328505238738
01 IT-ET Glut,A2m,10,1.970855827266864,10.354266571312971,0.9396499268317161
01 IT-ET Glut,A330076C08Rik,10,1.970855827266864,10.354266571312971,0.9775468592419507
01 IT-ET Glut,A630012P03Rik,10,1.970855827266864,10.354266571312971,0.37670374020717445
01 IT-ET Glut,A730046J19Rik,10,1.970855827266864,10.354266571312971,-0.3429387283289831
01 IT-ET Glut,A830009L08Rik,10,1.970855827266864,10.354266571312971,0.5702784771772312
01 IT-ET Glut,A830019P07Rik,10,1.970855827266864,10.354266571312971,0.9363409897307474
01 IT-ET Glut,A830036E02Rik,10,1.970855827266864,10.354266571312971,0.9935154145171399
01 IT-ET Glut,AW551984,10,1.970855827266864,10.354266571312971,-0.14753917861094448
01 IT-ET Glut,Abca8a,10,1.970855827266864,10.354266571312971,0.992505741384479
01 IT-ET Glut,Abcc9,10,1.970855827266864,10.354266571312971,0.6436495117745181
01 IT-ET Glut,Abhd12b,10,1.970855827266864,10.354266571312971,-0.3255962054545909
01 IT-ET Glut,Abi3bp,10,1.970855827266864,10.354266571312971,0.9999328851272646
01 IT-ET Glut,Acsbg1,10,1.970855827266864,10.354266571312971,0.6153297375252672
01 IT-ET Glut,Acta2,10,1.970855827266864,10.354266571312971,0.08218965287619516
01 IT-ET Glut,Actn2,10,1.970855827266864,10.354266571312971,0.978427268251135
01 IT-ET Glut,Acvr1c,10,1.970855827266864,10.354266571312971,0.9524588435783222
01 IT-ET Glut,Adad1,10,1.970855827266864,10.354266571312971,0.7874880411732424
01 IT-ET Glut,Adam12,10,1.970855827266864,10.354266571312971,0.9826169260729007
01 IT-ET Glut,Adam18,10,1.970855827266864,10.354266571312971,0.12211234391465724
01 IT-ET Glut,Adam33,10,1.970855827266864,10.354266571312971,0.9500436801076134
01 IT-ET Glut,Adamts12,10,1.970855827266864,10.354266571312971,0.8368022717969958
01 IT-ET Glut,Adamts16,10,1.970855827266864,10.354266571312971,0.9883383715765524
01 IT-ET Glut,Adamts18,10,1.970855827266864,10.354266571312971,0.9538845746121237
01 IT-ET Glut,Adamts19,10,1.970855827266864,10.354266571312971,0.9976196955216158
01 IT-ET Glut,Adamts2,10,1.970855827266864,10.354266571312971,0.982869764690116
01 IT-ET Glut,Adamts9,10,1.970855827266864,10.354266571312971,0.7747856522264144
01 IT-ET Glut,Adamtsl1,10,1.970855827266864,10.354266571312971,0.9240125806381254
