density_gap,density_name,generated_h5ad,label_support_labels,lower_ref_slice,mean_corr,median_gene_pearson,median_gene_spearman,moran_corr,n_genes,n_label_support_records,n_spots,per_class_metrics_csv,per_gene_metrics_csv,random_seed,ref_z_gap,target_slice,target_z,tau,upper_ref_slice,var_corr,z0,z1,zero_ks
10,sparse_gap10,generated.h5ad,[],1,0.9549843802318569,0.056278503889333364,0.058796461494656685,0.6099740552342892,1122,0,10442,per_class_metrics.csv,per_gene_metrics.csv,102026,0.6198209509757062,6,0.2,0.32267382973286907,11,0.9392640881599149,0.0,0.6198209509757062,0.11319073083778966
10,sparse_gap10,generated.h5ad,['07 CTX-MGE GABA'],11,0.9277151649359183,0.07435986573972352,0.07420899165776025,0.7126003899844312,1122,1,9580,per_class_metrics.csv,per_gene_metrics.csv,102027,0.7191058083015136,16,0.9752523511274424,0.4942685708397274,21,0.8785803350591729,0.6198209509757062,1.3389267592772198,0.07932263814616755
10,sparse_gap10,generated.h5ad,['04 DG-IMN Glut'],21,0.9437677004699467,0.10055245704531221,0.10196208887790939,0.7077056512051059,1122,1,9135,per_class_metrics.csv,per_gene_metrics.csv,102028,0.9311372736409516,26,1.970855827266864,0.6786637007008242,31,0.9059061450464904,1.3389267592772198,2.2700640329181714,0.12566844919786097
10,sparse_gap10,generated.h5ad,['15 HY Gnrh1 Glut'],31,0.9794911730182931,0.12923882733888498,0.12157876355276825,0.7559168719544929,1122,1,9533,per_class_metrics.csv,per_gene_metrics.csv,102029,1.0247416036921946,36,2.760884455979676,0.47896993865873555,41,0.9055058860478332,2.2700640329181714,3.294805636610366,0.11764705882352941
10,sparse_gap10,generated.h5ad,"['19 MB Glut', '25 Pineal Glut']",41,0.9523705795297501,0.13073328773302134,0.1190467182087715,0.7461617800129589,1122,2,21795,per_class_metrics.csv,per_gene_metrics.csv,102030,0.981871658635368,46,3.7842382240187393,0.4984690036665282,51,0.6861200848362139,3.294805636610366,4.276677295245734,0.18538324420677363
10,sparse_gap10,generated.h5ad,['22 MB-HB Sero'],51,0.9726922154125496,0.16030325301523443,0.14282863655124906,0.7869130181442789,1122,1,22963,per_class_metrics.csv,per_gene_metrics.csv,102031,1.0255437734159703,56,4.791846418988289,0.5023375277552367,61,0.9379650207708196,4.276677295245734,5.302221068661704,0.1800356506238859
10,sparse_gap10,generated.h5ad,"['20 MB GABA', '27 MY GABA', '28 CB GABA']",61,0.9600822994540553,0.1269212314279567,0.11814016235253952,0.7410507461792686,1122,3,26940,per_class_metrics.csv,per_gene_metrics.csv,102032,0.8020305496208042,66,5.752391808790593,0.561288769289059,71,0.9540226321556252,5.302221068661704,6.104251618282508,0.24955436720142601
10,sparse_gap10,generated.h5ad,['23 P Glut'],71,0.9732309731823566,0.11553993571122942,0.10696615529096498,0.7855593092634038,1122,1,27848,per_class_metrics.csv,per_gene_metrics.csv,102033,0.7773914653218696,76,6.418447464831936,0.4041668330116522,81,0.978699170603952,6.104251618282508,6.881643083604378,0.23083778966131907
10,sparse_gap10,generated.h5ad,"['15 HY Gnrh1 Glut', '24 MY Glut', '32 OEC']",81,0.9779475302756885,0.10579586254806919,0.10425454005532525,0.7241164225356261,1122,3,30109,per_class_metrics.csv,per_gene_metrics.csv,102034,1.126462894492538,86,7.463723138174608,0.5167325594266039,91,0.9776584000228469,6.881643083604378,8.008105978096916,0.21836007130124777
10,sparse_gap10,generated.h5ad,[],91,0.9554361969876701,0.14766748484380415,0.12684783298509292,0.7699019590487616,1122,0,28442,per_class_metrics.csv,per_gene_metrics.csv,102035,0.8462571574684254,96,8.469022199413168,0.5446526711751313,101,0.9562703418386733,8.008105978096916,8.854363135565341,0.32887700534759357
10,sparse_gap10,generated.h5ad,[],101,0.9608543186199284,0.10722121550817053,0.09930226822430369,0.7567661908508024,1122,0,27169,per_class_metrics.csv,per_gene_metrics.csv,102036,0.9933131922010627,106,9.307552976701205,0.45624063456929326,111,0.9614888345594683,8.854363135565341,9.847676327766404,0.3235294117647059
10,sparse_gap10,generated.h5ad,"['09 CNU-LGE GABA', '10 LSX GABA']",111,0.9805178209113877,0.07689484664231047,0.07420067524393771,0.6917799218500369,1122,2,19003,per_class_metrics.csv,per_gene_metrics.csv,102037,0.8548286496096047,116,10.354266571312971,0.5926219760859955,121,0.9490242151255934,9.847676327766404,10.702504977376009,0.24688057040998218
10,sparse_gap10,generated.h5ad,"['04 DG-IMN Glut', '14 HY Glut']",121,0.9881526425765252,0.06019782730105561,0.05792093217992864,0.7767778971985674,1122,2,20175,per_class_metrics.csv,per_gene_metrics.csv,102038,0.8309496716755156,126,11.067791421558011,0.43960116555006745,131,0.9591925541272078,10.702504977376009,11.533454649051524,0.13458110516934046
10,sparse_gap10,generated.h5ad,"['01 IT-ET Glut', '14 HY Glut']",131,0.9766221335299641,0.06441269976895192,0.0610486441044677,0.6343743354390685,1122,2,14630,per_class_metrics.csv,per_gene_metrics.csv,102039,1.023844062619652,136,12.046132738254242,0.5007384502391476,141,0.9153439483130614,11.533454649051524,12.557298711671177,0.1532976827094474
10,sparse_gap10,generated.h5ad,['20 MB GABA'],141,0.9612412638084349,0.07446773805522092,0.06992215205991137,0.7386677231219566,1122,1,14027,per_class_metrics.csv,per_gene_metrics.csv,102040,0.9004411087479678,146,13.057739820419144,0.5557732803245884,150,0.9111700023363934,12.557298711671177,13.457739820419144,0.0962566844919786
