class,gene,n_slices,z_min,z_max,z_coherence
01 IT-ET Glut,1700057H15Rik,13,0.2,13.057739820419144,0.810994512410302
01 IT-ET Glut,2610028E06Rik,13,0.2,13.057739820419144,0.235090809905065
01 IT-ET Glut,2900052N01Rik,13,0.2,13.057739820419144,0.8863476524407446
01 IT-ET Glut,4921534H16Rik,13,0.2,13.057739820419144,0.8639378836859566
01 IT-ET Glut,4921539H07Rik,13,0.2,13.057739820419144,0.9256291515997486
01 IT-ET Glut,4930426D05Rik,13,0.2,13.057739820419144,0.4893017309299391
01 IT-ET Glut,4930438E09Rik,13,0.2,13.057739820419144,0.7555222325038956
01 IT-ET Glut,4930452B06Rik,13,0.2,13.057739820419144,0.007974902305664375
01 IT-ET Glut,4930467D21Rik,13,0.2,13.057739820419144,0.7251303763891399
01 IT-ET Glut,4930509J09Rik,13,0.2,13.057739820419144,0.8049330365468684
01 IT-ET Glut,5830418P13Rik,13,0.2,13.057739820419144,0.6361910859167703
01 IT-ET Glut,6430628N08Rik,13,0.2,13.057739820419144,0.8065207367479515
01 IT-ET Glut,6530403H02Rik,13,0.2,13.057739820419144,0.6379645995514299
01 IT-ET Glut,9330158H04Rik,13,0.2,13.057739820419144,0.08996992213911652
01 IT-ET Glut,9630002D21Rik,13,0.2,13.057739820419144,0.6710859213152554
01 IT-ET Glut,A2m,13,0.2,13.057739820419144,-0.3401641227233504
01 IT-ET Glut,A330076C08Rik,13,0.2,13.057739820419144,0.47259350670586303
01 IT-ET Glut,A630012P03Rik,13,0.2,13.057739820419144,0.862606124863803
01 IT-ET Glut,A730046J19Rik,13,0.2,13.057739820419144,0.21185459989154876
01 IT-ET Glut,A830009L08Rik,13,0.2,13.057739820419144,0.7396108639346752
01 IT-ET Glut,A830019P07Rik,13,0.2,13.057739820419144,0.931283393338702
01 IT-ET Glut,A830036E02Rik,13,0.2,13.057739820419144,0.2601523528265438
01 IT-ET Glut,AW551984,13,0.2,13.057739820419144,0.23565721309269433
01 IT-ET Glut,Abca8a,13,0.2,13.057739820419144,-0.19377901325786875
01 IT-ET Glut,Abcc9,13,0.2,13.057739820419144,0.6997023286977967
01 IT-ET Glut,Abhd12b,13,0.2,13.057739820419144,0.5338165488359558
