class,gene,n_slices,z_min,z_max,z_coherence
01 IT-ET Glut,1700057H15Rik,13,0.2,13.057739820419144,0.8109945124103025
01 IT-ET Glut,2610028E06Rik,13,0.2,13.057739820419144,0.23509080990506628
01 IT-ET Glut,2900052N01Rik,13,0.2,13.057739820419144,0.8863476524407445
01 IT-ET Glut,4921534H16Rik,13,0.2,13.057739820419144,0.8639378836859573
01 IT-ET Glut,4921539H07Rik,13,0.2,13.057739820419144,0.9256291515997486
01 IT-ET Glut,4930426D05Rik,13,0.2,13.057739820419144,0.4893017309299389
01 IT-ET Glut,4930438E09Rik,13,0.2,13.057739820419144,0.7555222325038953
01 IT-ET Glut,4930452B06Rik,13,0.2,13.057739820419144,0.007974902305664415
01 IT-ET Glut,4930467D21Rik,13,0.2,13.057739820419144,0.7251303763891404
01 IT-ET Glut,4930509J09Rik,13,0.2,13.057739820419144,0.8049330365468684
01 IT-ET Glut,5830418P13Rik,13,0.2,13.057739820419144,0.6361910859167703
01 IT-ET Glut,6430628N08Rik,13,0.2,13.057739820419144,0.806520736747952
01 IT-ET Glut,6530403H02Rik,13,0.2,13.057739820419144,0.6379645995514304
01 IT-ET Glut,9330158H04Rik,13,0.2,13.057739820419144,0.08996992213911698
01 IT-ET Glut,9630002D21Rik,13,0.2,13.057739820419144,0.6710859213152573
01 IT-ET Glut,A2m,13,0.2,13.057739820419144,-0.3401641227233504
01 IT-ET Glut,A330076C08Rik,13,0.2,13.057739820419144,0.47259350670586403
01 IT-ET Glut,A630012P03Rik,13,0.2,13.057739820419144,0.8626061248638035
01 IT-ET Glut,A730046J19Rik,13,0.2,13.057739820419144,0.21185459989154914
01 IT-ET Glut,A830009L08Rik,13,0.2,13.057739820419144,0.7396108639346755
01 IT-ET Glut,A830019P07Rik,13,0.2,13.057739820419144,0.9312833933387022
01 IT-ET Glut,A830036E02Rik,13,0.2,13.057739820419144,0.29664951800572975
01 IT-ET Glut,AW551984,13,0.2,13.057739820419144,0.2356572130926952
01 IT-ET Glut,Abca8a,13,0.2,13.057739820419144,-0.19377901325786867
01 IT-ET Glut,Abcc9,13,0.2,13.057739820419144,0.6997023286977967
01 IT-ET Glut,Abhd12b,13,0.2,13.057739820419144,0.533816548835956
01 IT-ET Glut,Abi3bp,13,0.2,13.057739820419144,0.86451787916125
01 IT-ET Glut,Acsbg1,13,0.2,13.057739820419144,0.8723909728870584
01 IT-ET Glut,Acta2,13,0.2,13.057739820419144,0.7916318555748074
01 IT-ET Glut,Actn2,13,0.2,13.057739820419144,0.7399281513816003
01 IT-ET Glut,Acvr1c,13,0.2,13.057739820419144,0.12892110467163076
01 IT-ET Glut,Adad1,13,0.2,13.057739820419144,0.85126676925728
01 IT-ET Glut,Adam12,13,0.2,13.057739820419144,0.7016210703620627
01 IT-ET Glut,Adam18,13,0.2,13.057739820419144,0.5619222365215727
01 IT-ET Glut,Adam33,13,0.2,13.057739820419144,0.5663806821592287
01 IT-ET Glut,Adamts12,13,0.2,13.057739820419144,0.9067435713257983
01 IT-ET Glut,Adamts16,13,0.2,13.057739820419144,0.7630829819855108
01 IT-ET Glut,Adamts18,13,0.2,13.057739820419144,0.821695175192545
01 IT-ET Glut,Adamts19,13,0.2,13.057739820419144,-0.542402485156288
01 IT-ET Glut,Adamts2,13,0.2,13.057739820419144,0.5407784713470266
01 IT-ET Glut,Adamts9,13,0.2,13.057739820419144,0.7150580782313061
01 IT-ET Glut,Adamtsl1,13,0.2,13.057739820419144,0.33989369348600346
01 IT-ET Glut,Adamtsl3,13,0.2,13.057739820419144,-0.3351152036624259
01 IT-ET Glut,Adcy2,13,0.2,13.057739820419144,0.8413891275710904
01 IT-ET Glut,Adcy7,13,0.2,13.057739820419144,0.5317413440578335
01 IT-ET Glut,Adcy8,13,0.2,13.057739820419144,0.8568591459892965
01 IT-ET Glut,Adcyap1,13,0.2,13.057739820419144,0.8505574162253015
01 IT-ET Glut,Adgrd1,13,0.2,13.057739820419144,0.8962915344073039
01 IT-ET Glut,Adgrf5,13,0.2,13.057739820419144,0.6439156358167554
01 IT-ET Glut,Adgrg2,13,0.2,13.057739820419144,0.5658128997777011
01 IT-ET Glut,Adgrg6,13,0.2,13.057739820419144,0.5390748875989597
01 IT-ET Glut,Adgrl2,13,0.2,13.057739820419144,0.5961451710484462
01 IT-ET Glut,Adgrv1,13,0.2,13.057739820419144,0.9012770662968929
01 IT-ET Glut,Adh5,13,0.2,13.057739820419144,0.8278626756514305
01 IT-ET Glut,Adora1,13,0.2,13.057739820419144,0.36740358721870814
01 IT-ET Glut,Adora2a,13,0.2,13.057739820419144,-0.34871696884338177
01 IT-ET Glut,Adra1a,13,0.2,13.057739820419144,0.7999715042247619
01 IT-ET Glut,Adra1b,13,0.2,13.057739820419144,0.757635242274312
01 IT-ET Glut,Adra2a,13,0.2,13.057739820419144,0.6711710524048774
01 IT-ET Glut,Aff2,13,0.2,13.057739820419144,0.4040456452613763
01 IT-ET Glut,Agt,13,0.2,13.057739820419144,0.653607914679522
01 IT-ET Glut,Agtr1a,13,0.2,13.057739820419144,0.5913602091826063
01 IT-ET Glut,Agtr2,13,0.2,13.057739820419144,0.1807303662771512
01 IT-ET Glut,Akain1,13,0.2,13.057739820419144,-0.2163901270907103
01 IT-ET Glut,Akr7a5,13,0.2,13.057739820419144,0.4253321933403686
01 IT-ET Glut,Aldh1a3,13,0.2,13.057739820419144,0.42719363386966885
01 IT-ET Glut,Aldh1l1,13,0.2,13.057739820419144,-0.30488774594485535
01 IT-ET Glut,Aldh3b2,13,0.2,13.057739820419144,0.7301711127945454
01 IT-ET Glut,Alk,13,0.2,13.057739820419144,0.9978188424499516
01 IT-ET Glut,Alox8,13,0.2,13.057739820419144,0.7879897435441154
01 IT-ET Glut,Alpk2,13,0.2,13.057739820419144,-0.3534409284207166
01 IT-ET Glut,Amigo2,13,0.2,13.057739820419144,0.5499839950367024
01 IT-ET Glut,Angpt1,13,0.2,13.057739820419144,0.8236565409688944
01 IT-ET Glut,Ankfn1,13,0.2,13.057739820419144,0.7055017339594657
01 IT-ET Glut,Ankrd63,13,0.2,13.057739820419144,0.9086691699883191
01 IT-ET Glut,Ano1,13,0.2,13.057739820419144,-0.1427659540417087
01 IT-ET Glut,Ano2,13,0.2,13.057739820419144,0.9318758381541793
01 IT-ET Glut,Antxr2,13,0.2,13.057739820419144,0.2604811398465134
01 IT-ET Glut,Anxa2,13,0.2,13.057739820419144,0.7053501822302266
01 IT-ET Glut,Apela,13,0.2,13.057739820419144,0.35723060522103
01 IT-ET Glut,Apex1,13,0.2,13.057739820419144,0.09017659363174699
01 IT-ET Glut,Apold1,13,0.2,13.057739820419144,0.4130602341064292
01 IT-ET Glut,Aqp1,13,0.2,13.057739820419144,0.8632244136976859
01 IT-ET Glut,Aqp4,13,0.2,13.057739820419144,0.4028170043546612
01 IT-ET Glut,Aqp6,13,0.2,13.057739820419144,0.408854426333493
01 IT-ET Glut,Ar,13,0.2,13.057739820419144,0.7191537171242753
01 IT-ET Glut,Arhgap15,13,0.2,13.057739820419144,0.6776136475809595
01 IT-ET Glut,Arhgap22,13,0.2,13.057739820419144,0.6125408944401645
01 IT-ET Glut,Arhgap25,13,0.2,13.057739820419144,0.594130734312833
01 IT-ET Glut,Arhgap28,13,0.2,13.057739820419144,0.9483063802617385
01 IT-ET Glut,Arhgap36,13,0.2,13.057739820419144,0.8845801712989323
01 IT-ET Glut,Arhgef26,13,0.2,13.057739820419144,0.8487122422535827
01 IT-ET Glut,Arhgef38,13,0.2,13.057739820419144,0.7000649984769989
01 IT-ET Glut,Arntl,13,0.2,13.057739820419144,0.2250560934112702
01 IT-ET Glut,Arsj,13,0.2,13.057739820419144,0.6698947575199177
01 IT-ET Glut,Arx,13,0.2,13.057739820419144,0.3737094044155414
01 IT-ET Glut,Asb2,13,0.2,13.057739820419144,-0.1981201527593886
01 IT-ET Glut,Asb4,13,0.2,13.057739820419144,-0.004201214726057134
01 IT-ET Glut,Ascl1,13,0.2,13.057739820419144,0.6942570709777579
